PLOSPaperID,curr_date,RoundID,ReviewerLLM
pone.0220484,2019-10-31,pone.0220484.r003,False
pone.0220538,2019-08-29,pone.0220538.r001,False
pone.0220539,2019-08-19,pone.0220539.r001,False
pone.0220542,2019-08-29,pone.0220542.r001,False
pone.0220593,2019-08-30,pone.0220593.r001,False
pone.0220597,2019-08-29,pone.0220597.r001,False
pone.0220598,2020-01-07,pone.0220598.r003,False
pone.0220612,2019-06-18,pone.0220612.r001,True
pone.0220671,2019-07-22,pone.0220671.r003,True
pone.0220676,2019-08-30,pone.0220676.r001,False
pone.0220679,2019-09-25,pone.0220679.r001,False
pone.0220683,2019-06-14,pone.0220683.r001,False
pone.0220753,2019-10-04,pone.0220753.r001,False
pone.0220756,2019-11-04,pone.0220756.r001,False
pone.0220779,2019-06-12,pone.0220779.r001,True
pone.0220837,2019-07-05,pone.0220837.r001,False
pone.0220839,2019-07-11,pone.0220839.r001,False
pone.0220870,2019-06-18,pone.0220870.r001,False
pone.0220874,2019-08-18,pone.0220874.r001,True
pone.0220889,2019-07-26,pone.0220889.r001,True
pone.0220924,2019-11-12,pone.0220924.r001,False
pone.0220958,2019-07-11,pone.0220958.r001,False
pone.0220993,2019-06-26,pone.0220993.r002,False
pone.0221000,2019-10-16,pone.0221000.r001,False
pone.0221027,2019-07-25,pone.0221027.r001,True
pone.0221068,2019-07-30,pone.0221068.r002,False
pone.0221070,2019-10-18,pone.0221070.r001,False
pone.0221138,2019-11-05,pone.0221138.r001,False
pone.0221155,2019-07-17,pone.0221155.r001,True
pone.0221190,2019-08-29,pone.0221190.r001,False
pone.0221192,2019-12-13,pone.0221192.r001,False
pone.0221241,2020-05-04,pone.0221241.r001,False
pone.0221243,2019-07-12,pone.0221243.r001,False
pone.0221317,2019-08-06,pone.0221317.r001,False
pone.0221374,2019-06-18,pone.0221374.r001,False
pone.0221378,2019-08-28,pone.0221378.r001,False
pone.0221379,2019-08-30,pone.0221379.r001,False
pone.0221382,2019-10-09,pone.0221382.r001,False
pone.0221383,2019-12-03,pone.0221383.r001,False
pone.0221391,2019-08-05,pone.0221391.r001,True
pone.0221429,2019-07-10,pone.0221429.r001,True
pone.0221447,2019-08-07,pone.0221447.r001,True
pone.0221455,2019-08-08,pone.0221455.r002,True
pone.0221498,2019-09-18,pone.0221498.r001,False
pone.0221521,2019-08-09,pone.0221521.r003,False
pone.0221543,2020-01-21,pone.0221543.r003,True
pone.0221544,2019-11-11,pone.0221544.r001,False
pone.0221599,2019-07-17,pone.0221599.r001,False
pone.0221606,2019-10-16,pone.0221606.r001,True
pone.0221630,2019-08-02,pone.0221630.r001,True
pone.0221632,2019-07-16,pone.0221632.r001,False
pone.0221654,2019-07-10,pone.0221654.r001,False
pone.0221669,2019-09-16,pone.0221669.r001,False
pone.0221680,2019-07-31,pone.0221680.r001,False
pone.0221685,2019-06-28,pone.0221685.r001,False
pone.0221688,2019-07-05,pone.0221688.r001,True
pone.0221710,2019-07-23,pone.0221710.r001,False
pone.0221742,2019-08-30,pone.0221742.r001,False
pone.0221750,2019-07-15,pone.0221750.r001,False
pone.0221758,2019-07-12,pone.0221758.r001,True
pone.0221778,2019-07-02,pone.0221778.r003,False
pone.0221784,2019-08-08,pone.0221784.r003,False
pone.0221826,2019-06-26,pone.0221826.r001,False
pone.0221838,2019-11-01,pone.0221838.r001,False
pone.0221841,2020-03-12,pone.0221841.r003,False
pone.0221887,2019-08-07,pone.0221887.r001,False
pone.0221890,2019-07-23,pone.0221890.r001,False
pone.0221914,2019-09-17,pone.0221914.r001,False
pone.0221915,2019-09-04,pone.0221915.r001,False
pone.0221924,2019-07-01,pone.0221924.r001,False
pone.0221980,2019-07-18,pone.0221980.r001,False
pone.0222050,2019-07-23,pone.0222050.r001,False
pone.0222055,2019-09-11,pone.0222055.r001,False
pone.0222057,2019-10-14,pone.0222057.r001,False
pone.0222066,2019-08-06,pone.0222066.r001,False
pone.0222067,2019-08-14,pone.0222067.r001,False
pone.0222068,2019-07-30,pone.0222068.r001,True
pone.0222069,2019-07-18,pone.0222069.r001,False
pone.0222070,2019-09-26,pone.0222070.r001,False
pone.0222093,2019-06-18,pone.0222093.r001,False
pone.0222126,2019-10-01,pone.0222126.r001,False
pone.0222141,2019-07-21,pone.0222141.r001,False
pone.0222218,2019-07-05,pone.0222218.r001,False
pone.0222228,2019-07-29,pone.0222228.r001,False
pone.0222229,2019-07-24,pone.0222229.r001,True
pone.0222232,2019-07-08,pone.0222232.r001,False
pone.0222253,2020-01-13,pone.0222253.r003,False
pone.0222256,2020-02-19,pone.0222256.r003,True
pone.0222263,2019-07-24,pone.0222263.r001,True
pone.0222309,2019-10-22,pone.0222309.r001,False
pone.0222335,2019-08-22,pone.0222335.r003,False
pone.0222337,2019-07-05,pone.0222337.r001,False
pone.0222370,2019-10-17,pone.0222370.r001,False
pone.0222375,2019-09-19,pone.0222375.r001,False
pone.0222393,2019-08-18,pone.0222393.r001,False
pone.0222394,2019-08-13,pone.0222394.r001,False
pone.0222406,2019-07-26,pone.0222406.r001,False
pone.0222432,2019-11-06,pone.0222432.r001,False
pone.0222441,2019-07-27,pone.0222441.r001,False
pone.0222463,2019-07-10,pone.0222463.r001,False
pone.0222467,2019-07-31,pone.0222467.r001,False
pone.0222476,2019-10-01,pone.0222476.r001,False
pone.0222479,2019-09-20,pone.0222479.r001,False
pone.0222522,2019-07-31,pone.0222522.r001,True
pone.0222532,2019-07-11,pone.0222532.r001,True
pone.0222540,2019-07-12,pone.0222540.r001,False
pone.0222544,2019-07-23,pone.0222544.r001,False
pone.0222547,2019-07-12,pone.0222547.r001,True
pone.0222580,2019-07-02,pone.0222580.r001,False
pone.0222603,2019-08-13,pone.0222603.r001,False
pone.0222605,2019-07-28,pone.0222605.r001,False
pone.0222611,2019-07-18,pone.0222611.r001,True
pone.0222614,2019-07-22,pone.0222614.r001,True
pone.0222616,2019-07-27,pone.0222616.r001,True
pone.0222634,2019-09-05,pone.0222634.r003,False
pone.0222650,2019-07-19,pone.0222650.r001,True
pone.0222685,2019-12-04,pone.0222685.r001,False
pone.0222688,2020-01-09,pone.0222688.r001,False
pone.0222689,2019-11-06,pone.0222689.r001,False
pone.0222691,2020-02-06,pone.0222691.r003,True
pone.0222737,2019-10-14,pone.0222737.r001,False
pone.0222738,2019-11-15,pone.0222738.r001,False
pone.0222744,2019-10-08,pone.0222744.r001,False
pone.0222747,2020-03-11,pone.0222747.r001,True
pone.0222749,2019-11-14,pone.0222749.r003,True
pone.0222750,2019-08-01,pone.0222750.r001,False
pone.0222752,2019-08-05,pone.0222752.r001,False
pone.0222755,2019-06-28,pone.0222755.r001,False
pone.0222756,2019-07-11,pone.0222756.r001,False
pone.0222784,2019-08-22,pone.0222784.r001,False
pone.0222787,2019-08-20,pone.0222787.r001,True
pone.0222791,2019-07-24,pone.0222791.r001,False
pone.0222800,2019-08-06,pone.0222800.r001,False
pone.0222813,2019-08-16,pone.0222813.r002,False
pone.0222822,2019-11-12,pone.0222822.r001,False
pone.0222826,2019-07-27,pone.0222826.r001,True
pone.0222831,2019-07-26,pone.0222831.r001,False
pone.0222838,2019-09-10,pone.0222838.r001,False
pone.0222841,2019-08-01,pone.0222841.r001,True
pone.0222843,2019-08-14,pone.0222843.r001,False
pone.0222856,2019-08-08,pone.0222856.r001,False
pone.0222860,2019-07-19,pone.0222860.r001,True
pone.0222861,2019-07-17,pone.0222861.r002,True
pone.0222863,2019-06-24,pone.0222863.r001,True
pone.0222891,2019-07-24,pone.0222891.r001,False
pone.0222898,2020-01-09,pone.0222898.r001,True
pone.0222900,2019-11-07,pone.0222900.r001,False
pone.0222906,2019-09-02,pone.0222906.r001,False
pone.0222922,2019-08-16,pone.0222922.r001,True
pone.0222934,2019-08-06,pone.0222934.r001,False
pone.0222937,2019-07-24,pone.0222937.r001,False
pone.0222942,2019-07-09,pone.0222942.r001,False
pone.0222943,2019-07-16,pone.0222943.r001,True
pone.0222945,2019-07-18,pone.0222945.r001,False
pone.0222972,2019-07-31,pone.0222972.r001,True
pone.0222977,2019-07-08,pone.0222977.r001,False
pone.0222979,2019-08-01,pone.0222979.r001,False
pone.0222980,2019-08-02,pone.0222980.r001,True
pone.0222981,2019-07-23,pone.0222981.r001,False
pone.0222990,2019-09-12,pone.0222990.r003,False
pone.0223030,2020-01-07,pone.0223030.r003,True
pone.0223031,2020-01-09,pone.0223031.r003,True
pone.0223033,2019-10-14,pone.0223033.r001,False
pone.0223035,2019-12-12,pone.0223035.r001,False
pone.0223051,2019-09-09,pone.0223051.r001,False
pone.0223078,2019-09-11,pone.0223078.r003,False
pone.0223080,2020-01-02,pone.0223080.r001,False
pone.0223087,2019-10-16,pone.0223087.r001,False
pone.0223097,2019-07-24,pone.0223097.r001,False
pone.0223116,2019-08-30,pone.0223116.r001,False
pone.0223136,2019-08-23,pone.0223136.r001,True
pone.0223142,2019-07-23,pone.0223142.r001,False
pone.0223152,2019-09-04,pone.0223152.r001,False
pone.0223154,2019-07-10,pone.0223154.r001,False
pone.0223155,2019-08-30,pone.0223155.r001,False
pone.0223170,2019-09-17,pone.0223170.r003,False
pone.0223174,2019-09-17,pone.0223174.r003,False
pone.0223175,2019-07-22,pone.0223175.r001,True
pone.0223179,2019-07-09,pone.0223179.r001,False
pone.0223180,2019-09-17,pone.0223180.r003,True
pone.0223182,2019-09-11,pone.0223182.r001,True
pone.0223199,2019-07-10,pone.0223199.r001,False
pone.0223203,2019-12-17,pone.0223203.r001,False
pone.0223207,2020-01-06,pone.0223207.r001,False
pone.0223214,2019-09-17,pone.0223214.r003,True
pone.0223215,2019-08-01,pone.0223215.r001,False
pone.0223228,2019-08-05,pone.0223228.r001,False
pone.0223257,2019-07-22,pone.0223257.r001,True
pone.0223288,2019-10-09,pone.0223288.r001,False
pone.0223294,2019-10-24,pone.0223294.r001,True
pone.0223314,2019-09-10,pone.0223314.r001,False
pone.0223328,2019-08-21,pone.0223328.r001,True
pone.0223335,2019-08-30,pone.0223335.r001,False
pone.0223338,2019-08-18,pone.0223338.r001,False
pone.0223339,2019-07-17,pone.0223339.r001,True
pone.0223341,2019-10-14,pone.0223341.r001,False
pone.0223344,2020-01-30,pone.0223344.r001,False
pone.0223346,2020-02-06,pone.0223346.r001,False
pone.0223373,2019-08-09,pone.0223373.r001,False
pone.0223374,2019-07-19,pone.0223374.r001,False
pone.0223378,2019-09-03,pone.0223378.r003,False
pone.0223379,2019-08-13,pone.0223379.r001,True
pone.0223381,2019-09-12,pone.0223381.r001,False
pone.0223385,2019-07-18,pone.0223385.r001,False
pone.0223393,2019-10-28,pone.0223393.r001,False
pone.0223395,2019-10-28,pone.0223395.r001,False
pone.0223396,2019-11-26,pone.0223396.r001,False
pone.0223402,2019-08-30,pone.0223402.r001,False
pone.0223407,2019-08-07,pone.0223407.r001,False
pone.0223411,2019-07-23,pone.0223411.r001,True
pone.0223418,2019-07-22,pone.0223418.r001,False
pone.0223422,2019-09-02,pone.0223422.r001,False
pone.0223423,2019-08-02,pone.0223423.r001,False
pone.0223436,2019-08-11,pone.0223436.r001,False
pone.0223461,2019-12-09,pone.0223461.r001,False
pone.0223463,2019-10-09,pone.0223463.r001,True
pone.0223474,2019-07-16,pone.0223474.r001,False
pone.0223487,2019-08-05,pone.0223487.r001,False
pone.0223492,2019-07-21,pone.0223492.r001,False
pone.0223499,2019-08-10,pone.0223499.r001,True
pone.0223501,2019-08-22,pone.0223501.r001,True
pone.0223503,2019-08-07,pone.0223503.r001,True
pone.0223504,2019-06-27,pone.0223504.r001,True
pone.0223507,2019-08-02,pone.0223507.r001,False
pone.0223514,2019-07-08,pone.0223514.r001,False
pone.0223549,2019-10-17,pone.0223549.r001,False
pone.0223555,2019-07-06,pone.0223555.r001,False
pone.0223568,2019-09-17,pone.0223568.r001,False
pone.0223571,2019-09-10,pone.0223571.r001,True
pone.0223572,2019-09-25,pone.0223572.r001,True
pone.0223602,2019-06-10,pone.0223602.r001,False
pone.0223604,2019-08-01,pone.0223604.r001,True
pone.0223605,2019-08-30,pone.0223605.r001,True
pone.0223618,2019-08-09,pone.0223618.r001,False
pone.0223620,2019-07-18,pone.0223620.r001,True
pone.0223623,2019-07-03,pone.0223623.r001,False
pone.0223624,2019-07-31,pone.0223624.r001,False
pone.0223627,2019-11-18,pone.0223627.r001,False
pone.0223632,2020-03-03,pone.0223632.r001,False
pone.0223633,2019-12-03,pone.0223633.r001,False
pone.0223639,2019-08-02,pone.0223639.r001,True
pone.0223645,2019-08-07,pone.0223645.r001,False
pone.0223647,2019-07-18,pone.0223647.r001,False
pone.0223649,2019-08-21,pone.0223649.r001,True
pone.0223658,2019-08-29,pone.0223658.r001,False
pone.0223687,2019-07-15,pone.0223687.r001,False
pone.0223688,2019-07-04,pone.0223688.r001,False
pone.0223689,2019-07-04,pone.0223689.r001,False
pone.0223697,2019-11-27,pone.0223697.r001,True
pone.0223698,2019-10-29,pone.0223698.r001,False
pone.0223699,2019-11-19,pone.0223699.r001,False
pone.0223700,2019-11-20,pone.0223700.r001,False
pone.0223707,2019-08-30,pone.0223707.r001,True
pone.0223715,2019-09-05,pone.0223715.r001,False
pone.0223716,2019-08-07,pone.0223716.r001,False
pone.0223717,2019-07-30,pone.0223717.r001,False
pone.0223729,2019-07-16,pone.0223729.r001,False
pone.0223730,2019-08-12,pone.0223730.r001,True
pone.0223736,2019-08-07,pone.0223736.r001,False
pone.0223743,2019-11-27,pone.0223743.r001,False
pone.0223769,2019-07-24,pone.0223769.r001,False
pone.0223775,2019-09-30,pone.0223775.r003,False
pone.0223800,2019-08-05,pone.0223800.r001,False
pone.0223802,2019-07-16,pone.0223802.r001,False
pone.0223805,2019-09-06,pone.0223805.r001,True
pone.0223809,2019-08-02,pone.0223809.r001,True
pone.0223810,2020-02-17,pone.0223810.r001,False
pone.0223812,2019-10-24,pone.0223812.r001,True
pone.0223831,2019-09-02,pone.0223831.r001,False
pone.0223842,2019-09-25,pone.0223842.r001,False
pone.0223845,2019-08-21,pone.0223845.r001,False
pone.0223856,2019-07-28,pone.0223856.r001,False
pone.0223861,2019-10-01,pone.0223861.r003,True
pone.0223866,2019-08-19,pone.0223866.r001,False
pone.0223868,2019-07-12,pone.0223868.r001,False
pone.0223869,2019-10-01,pone.0223869.r003,True
pone.0223872,2019-12-31,pone.0223872.r001,False
pone.0223876,2019-08-27,pone.0223876.r001,False
pone.0223877,2019-09-05,pone.0223877.r001,False
pone.0223888,2019-08-29,pone.0223888.r001,False
pone.0223889,2019-08-22,pone.0223889.r001,False
pone.0223895,2019-08-29,pone.0223895.r001,False
pone.0223897,2019-08-13,pone.0223897.r001,False
pone.0223901,2019-08-02,pone.0223901.r001,False
pone.0223917,2019-08-13,pone.0223917.r001,False
pone.0223924,2019-10-02,pone.0223924.r003,False
pone.0223925,2019-07-22,pone.0223925.r001,True
pone.0223928,2019-09-05,pone.0223928.r001,False
pone.0223930,2019-07-24,pone.0223930.r001,False
pone.0223932,2019-11-13,pone.0223932.r001,False
pone.0223939,2019-12-17,pone.0223939.r001,False
pone.0223941,2019-12-23,pone.0223941.r001,False
pone.0223958,2019-08-19,pone.0223958.r001,False
pone.0223971,2019-09-11,pone.0223971.r001,False
pone.0223982,2019-09-04,pone.0223982.r001,False
pone.0223990,2019-08-30,pone.0223990.r001,False
pone.0223992,2019-09-16,pone.0223992.r001,False
pone.0223994,2019-08-02,pone.0223994.r001,True
pone.0223998,2019-08-13,pone.0223998.r001,False
pone.0224001,2019-12-27,pone.0224001.r003,False
pone.0224006,2019-11-18,pone.0224006.r001,False
pone.0224007,2019-10-29,pone.0224007.r001,False
pone.0224017,2019-08-13,pone.0224017.r001,False
pone.0224027,2019-08-01,pone.0224027.r001,True
pone.0224040,2019-06-27,pone.0224040.r001,False
pone.0224043,2019-07-30,pone.0224043.r001,False
pone.0224046,2019-08-07,pone.0224046.r001,False
pone.0224051,2020-01-13,pone.0224051.r001,False
pone.0224052,2019-12-02,pone.0224052.r001,False
pone.0224053,2020-01-20,pone.0224053.r001,False
pone.0224054,2019-11-11,pone.0224054.r001,True
pone.0224056,2019-12-23,pone.0224056.r001,False
pone.0224057,2019-11-25,pone.0224057.r001,False
pone.0224060,2019-11-15,pone.0224060.r001,False
pone.0224070,2019-10-07,pone.0224070.r001,True
pone.0224071,2019-10-07,pone.0224071.r001,True
pone.0224076,2019-09-20,pone.0224076.r001,False
pone.0224077,2019-08-12,pone.0224077.r001,False
pone.0224083,2019-08-21,pone.0224083.r001,True
pone.0224088,2019-07-28,pone.0224088.r001,False
pone.0224093,2019-07-26,pone.0224093.r001,False
pone.0224103,2019-07-15,pone.0224103.r001,False
pone.0224104,2019-09-13,pone.0224104.r003,True
pone.0224106,2019-08-16,pone.0224106.r001,False
pone.0224110,2019-09-10,pone.0224110.r001,False
pone.0224116,2019-07-27,pone.0224116.r001,False
pone.0224118,2019-11-11,pone.0224118.r001,False
pone.0224132,2019-09-27,pone.0224132.r001,False
pone.0224146,2019-08-13,pone.0224146.r001,True
pone.0224148,2019-08-13,pone.0224148.r001,False
pone.0224150,2019-08-18,pone.0224150.r001,False
pone.0224154,2019-08-06,pone.0224154.r001,False
pone.0224158,2019-08-13,pone.0224158.r001,False
pone.0224159,2019-07-24,pone.0224159.r001,False
pone.0224174,2019-07-09,pone.0224174.r001,False
pone.0224178,2019-08-07,pone.0224178.r001,False
pone.0224183,2019-09-16,pone.0224183.r001,False
pone.0224214,2019-08-23,pone.0224214.r001,False
pone.0224215,2019-08-16,pone.0224215.r001,False
pone.0224229,2019-07-03,pone.0224229.r001,False
pone.0224232,2019-08-12,pone.0224232.r001,False
pone.0224233,2019-08-07,pone.0224233.r001,False
pone.0224236,2019-08-12,pone.0224236.r001,True
pone.0224239,2019-08-22,pone.0224239.r003,False
pone.0224247,2019-09-18,pone.0224247.r001,False
pone.0224260,2019-08-23,pone.0224260.r001,False
pone.0224268,2019-10-03,pone.0224268.r001,False
pone.0224271,2019-09-11,pone.0224271.r001,False
pone.0224272,2019-09-24,pone.0224272.r001,True
pone.0224282,2019-09-04,pone.0224282.r002,False
pone.0224286,2019-08-02,pone.0224286.r001,True
pone.0224287,2019-08-06,pone.0224287.r001,False
pone.0224288,2019-08-21,pone.0224288.r001,False
pone.0224292,2019-07-23,pone.0224292.r001,False
pone.0224294,2019-07-30,pone.0224294.r003,False
pone.0224301,2019-11-13,pone.0224301.r001,False
pone.0224323,2019-10-11,pone.0224323.r003,True
pone.0224331,2019-07-24,pone.0224331.r001,False
pone.0224335,2019-07-24,pone.0224335.r001,False
pone.0224337,2019-09-02,pone.0224337.r001,False
pone.0224338,2019-08-15,pone.0224338.r001,False
pone.0224342,2019-10-30,pone.0224342.r001,False
pone.0224362,2019-08-28,pone.0224362.r001,True
pone.0224363,2019-08-12,pone.0224363.r001,True
pone.0224366,2019-06-24,pone.0224366.r001,False
pone.0224370,2019-08-30,pone.0224370.r001,False
pone.0224388,2019-08-21,pone.0224388.r001,True
pone.0224392,2019-08-12,pone.0224392.r001,False
pone.0224396,2019-07-23,pone.0224396.r001,True
pone.0224401,2019-08-19,pone.0224401.r001,True
pone.0224402,2019-08-29,pone.0224402.r001,False
pone.0224413,2019-11-04,pone.0224413.r001,False
pone.0224438,2019-08-14,pone.0224438.r001,False
pone.0224448,2019-08-29,pone.0224448.r001,True
pone.0224467,2019-08-06,pone.0224467.r001,False
pone.0224478,2019-10-16,pone.0224478.r002,False
pone.0224479,2019-09-26,pone.0224479.r001,False
pone.0224481,2019-09-26,pone.0224481.r001,False
pone.0224503,2019-08-21,pone.0224503.r001,False
pone.0224504,2019-08-28,pone.0224504.r001,False
pone.0224507,2019-10-07,pone.0224507.r001,False
pone.0224508,2019-07-05,pone.0224508.r001,False
pone.0224511,2019-08-07,pone.0224511.r001,False
pone.0224512,2019-08-30,pone.0224512.r001,True
pone.0224514,2019-07-31,pone.0224514.r001,False
pone.0224517,2019-07-24,pone.0224517.r001,False
pone.0224518,2019-09-06,pone.0224518.r001,False
pone.0224521,2019-07-16,pone.0224521.r001,False
pone.0224527,2019-09-09,pone.0224527.r001,False
pone.0224533,2019-11-06,pone.0224533.r001,False
pone.0224541,2019-07-17,pone.0224541.r001,False
pone.0224560,2019-09-11,pone.0224560.r001,False
pone.0224562,2019-09-16,pone.0224562.r001,False
pone.0224563,2019-10-07,pone.0224563.r001,False
pone.0224573,2019-07-23,pone.0224573.r001,False
pone.0224574,2019-10-07,pone.0224574.r001,True
pone.0224577,2019-08-21,pone.0224577.r001,False
pone.0224581,2019-09-16,pone.0224581.r003,False
pone.0224584,2019-11-26,pone.0224584.r001,False
pone.0224615,2019-08-23,pone.0224615.r001,False
pone.0224619,2019-10-10,pone.0224619.r003,False
pone.0224632,2019-08-06,pone.0224632.r001,False
pone.0224641,2020-01-07,pone.0224641.r001,False
pone.0224642,2019-11-06,pone.0224642.r001,False
pone.0224643,2019-11-27,pone.0224643.r001,False
pone.0224659,2019-08-19,pone.0224659.r001,True
pone.0224674,2019-09-05,pone.0224674.r001,False
pone.0224675,2019-09-05,pone.0224675.r001,False
pone.0224684,2019-09-04,pone.0224684.r001,False
pone.0224686,2019-08-08,pone.0224686.r001,False
pone.0224691,2019-09-10,pone.0224691.r001,False
pone.0224693,2019-08-30,pone.0224693.r001,False
pone.0224695,2019-08-28,pone.0224695.r001,False
pone.0224697,2019-07-10,pone.0224697.r001,False
pone.0224706,2019-08-08,pone.0224706.r001,False
pone.0224715,2019-11-07,pone.0224715.r001,False
pone.0224718,2019-11-13,pone.0224718.r001,False
pone.0224719,2020-01-09,pone.0224719.r001,False
pone.0224720,2020-03-16,pone.0224720.r001,False
pone.0224727,2019-08-06,pone.0224727.r001,False
pone.0224749,2019-08-07,pone.0224749.r001,False
pone.0224752,2019-09-04,pone.0224752.r001,True
pone.0224758,2019-09-10,pone.0224758.r001,False
pone.0224761,2019-12-20,pone.0224761.r001,True
pone.0224762,2019-10-01,pone.0224762.r001,False
pone.0224764,2019-09-25,pone.0224764.r001,False
pone.0224769,2019-09-06,pone.0224769.r001,False
pone.0224772,2019-08-21,pone.0224772.r001,False
pone.0224773,2019-09-03,pone.0224773.r001,False
pone.0224775,2020-01-17,pone.0224775.r001,False
pone.0224776,2019-11-26,pone.0224776.r001,False
pone.0224794,2019-08-20,pone.0224794.r001,False
pone.0224800,2019-10-23,pone.0224800.r001,True
pone.0224803,2019-09-09,pone.0224803.r001,True
pone.0224804,2019-09-06,pone.0224804.r001,True
pone.0224814,2019-08-16,pone.0224814.r001,False
pone.0224821,2019-09-06,pone.0224821.r001,False
pone.0224848,2019-06-21,pone.0224848.r001,False
pone.0224850,2019-11-05,pone.0224850.r001,True
pone.0224852,2019-12-06,pone.0224852.r001,False
pone.0224853,2020-02-13,pone.0224853.r001,False
pone.0224854,2019-10-03,pone.0224854.r001,False
pone.0224858,2019-09-02,pone.0224858.r001,False
pone.0224859,2019-09-09,pone.0224859.r001,False
pone.0224872,2019-09-26,pone.0224872.r001,False
pone.0224877,2019-08-22,pone.0224877.r001,False
pone.0224882,2019-09-06,pone.0224882.r001,False
pone.0224883,2019-08-29,pone.0224883.r001,False
pone.0224884,2019-08-13,pone.0224884.r001,True
pone.0224885,2019-08-15,pone.0224885.r001,False
pone.0224887,2019-06-26,pone.0224887.r001,False
pone.0224890,2019-08-01,pone.0224890.r001,False
pone.0224892,2019-07-15,pone.0224892.r001,True
pone.0224893,2019-07-24,pone.0224893.r001,False
pone.0224895,2019-07-24,pone.0224895.r001,False
pone.0224896,2019-08-28,pone.0224896.r001,False
pone.0224898,2019-10-07,pone.0224898.r001,False
pone.0224899,2019-08-30,pone.0224899.r001,False
