pmid,pmc,File,doi,publisher-id,pii,sici,manuscript,other,coden
5325870,PMC1033583,PMC001xxxxxx/PMC1033583.xml,,,,,,,
5325871,PMC1033584,PMC001xxxxxx/PMC1033584.xml,,,,,,,
5325872,PMC1033585,PMC001xxxxxx/PMC1033585.xml,,,,,,,
5325873,PMC1033586,PMC001xxxxxx/PMC1033586.xml,,,,,,,
5325874,PMC1033587,PMC001xxxxxx/PMC1033587.xml,,,,,,,
5325875,PMC1033588,PMC001xxxxxx/PMC1033588.xml,,,,,,,
5325876,PMC1033589,PMC001xxxxxx/PMC1033589.xml,,,,,,,
5325877,PMC1033590,PMC001xxxxxx/PMC1033590.xml,,,,,,,
5325878,PMC1033591,PMC001xxxxxx/PMC1033591.xml,,,,,,,
,PMC1033592,PMC001xxxxxx/PMC1033592.xml,,,,,,,
,PMC1033593,PMC001xxxxxx/PMC1033593.xml,,,,,,,
,PMC1033594,PMC001xxxxxx/PMC1033594.xml,,,,,,,
,PMC1033595,PMC001xxxxxx/PMC1033595.xml,,,,,,,
,PMC1033596,PMC001xxxxxx/PMC1033596.xml,,,,,,,
5330005,PMC1033601,PMC001xxxxxx/PMC1033601.xml,,,,,,,
5330085,PMC1033602,PMC001xxxxxx/PMC1033602.xml,,,,,,,
5330006,PMC1033603,PMC001xxxxxx/PMC1033603.xml,,,,,,,
5330007,PMC1033604,PMC001xxxxxx/PMC1033604.xml,,,,,,,
5330008,PMC1033605,PMC001xxxxxx/PMC1033605.xml,,,,,,,
5330009,PMC1033606,PMC001xxxxxx/PMC1033606.xml,,,,,,,
5330010,PMC1033607,PMC001xxxxxx/PMC1033607.xml,,,,,,,
5330011,PMC1033608,PMC001xxxxxx/PMC1033608.xml,,,,,,,
5947792,PMC1033609,PMC001xxxxxx/PMC1033609.xml,,,,,,,
5330012,PMC1033610,PMC001xxxxxx/PMC1033610.xml,,,,,,,
5330013,PMC1033611,PMC001xxxxxx/PMC1033611.xml,,,,,,,
,PMC1033612,PMC001xxxxxx/PMC1033612.xml,,,,,,,
,PMC1033613,PMC001xxxxxx/PMC1033613.xml,,,,,,,
,PMC1033614,PMC001xxxxxx/PMC1033614.xml,,,,,,,
,PMC1033615,PMC001xxxxxx/PMC1033615.xml,,,,,,,
,PMC1033616,PMC001xxxxxx/PMC1033616.xml,,,,,,,
,PMC1033617,PMC001xxxxxx/PMC1033617.xml,,,,,,,
,PMC1033618,PMC001xxxxxx/PMC1033618.xml,,,,,,,
,PMC1033619,PMC001xxxxxx/PMC1033619.xml,,,,,,,
,PMC1033620,PMC001xxxxxx/PMC1033620.xml,,,,,,,
,PMC1033621,PMC001xxxxxx/PMC1033621.xml,,,,,,,
,PMC1033622,PMC001xxxxxx/PMC1033622.xml,,,,,,,
,PMC1033623,PMC001xxxxxx/PMC1033623.xml,,,,,,,
,PMC1033624,PMC001xxxxxx/PMC1033624.xml,,,,,,,
,PMC1033625,PMC001xxxxxx/PMC1033625.xml,,,,,,,
,PMC1033626,PMC001xxxxxx/PMC1033626.xml,,,,,,,
,PMC1033627,PMC001xxxxxx/PMC1033627.xml,,,,,,,
,PMC1033628,PMC001xxxxxx/PMC1033628.xml,,,,,,,
,PMC1033629,PMC001xxxxxx/PMC1033629.xml,,,,,,,
,PMC1033630,PMC001xxxxxx/PMC1033630.xml,,,,,,,
,PMC1033631,PMC001xxxxxx/PMC1033631.xml,,,,,,,
,PMC1033632,PMC001xxxxxx/PMC1033632.xml,,,,,,,
,PMC1033633,PMC001xxxxxx/PMC1033633.xml,,,,,,,
,PMC1033634,PMC001xxxxxx/PMC1033634.xml,,,,,,,
5331692,PMC1033639,PMC001xxxxxx/PMC1033639.xml,,,,,,,
5331693,PMC1033640,PMC001xxxxxx/PMC1033640.xml,,,,,,,
5331694,PMC1033641,PMC001xxxxxx/PMC1033641.xml,,,,,,,
5920367,PMC1033642,PMC001xxxxxx/PMC1033642.xml,,,,,,,
5331695,PMC1033643,PMC001xxxxxx/PMC1033643.xml,,,,,,,
5331696,PMC1033644,PMC001xxxxxx/PMC1033644.xml,,,,,,,
,PMC1033645,PMC001xxxxxx/PMC1033645.xml,,,,,,,
5331697,PMC1033646,PMC001xxxxxx/PMC1033646.xml,,,,,,,
,PMC1033647,PMC001xxxxxx/PMC1033647.xml,,,,,,,
,PMC1033648,PMC001xxxxxx/PMC1033648.xml,,,,,,,
,PMC1033649,PMC001xxxxxx/PMC1033649.xml,,,,,,,
,PMC1033650,PMC001xxxxxx/PMC1033650.xml,,,,,,,
,PMC1033651,PMC001xxxxxx/PMC1033651.xml,,,,,,,
,PMC1033652,PMC001xxxxxx/PMC1033652.xml,,,,,,,
,PMC1033653,PMC001xxxxxx/PMC1033653.xml,,,,,,,
,PMC1033654,PMC001xxxxxx/PMC1033654.xml,,,,,,,
,PMC1033655,PMC001xxxxxx/PMC1033655.xml,,,,,,,
,PMC1033656,PMC001xxxxxx/PMC1033656.xml,,,,,,,
,PMC1033657,PMC001xxxxxx/PMC1033657.xml,,,,,,,
,PMC1033658,PMC001xxxxxx/PMC1033658.xml,,,,,,,
,PMC1033659,PMC001xxxxxx/PMC1033659.xml,,,,,,,
5341033,PMC1033664,PMC001xxxxxx/PMC1033664.xml,,,,,,,
5341032,PMC1033665,PMC001xxxxxx/PMC1033665.xml,,,,,,,
5341034,PMC1033666,PMC001xxxxxx/PMC1033666.xml,,,,,,,
5341035,PMC1033667,PMC001xxxxxx/PMC1033667.xml,,,,,,,
5341036,PMC1033668,PMC001xxxxxx/PMC1033668.xml,,,,,,,
5341037,PMC1033669,PMC001xxxxxx/PMC1033669.xml,,,,,,,
5341038,PMC1033670,PMC001xxxxxx/PMC1033670.xml,,,,,,,
5341039,PMC1033671,PMC001xxxxxx/PMC1033671.xml,,,,,,,
5341040,PMC1033672,PMC001xxxxxx/PMC1033672.xml,,,,,,,
5341041,PMC1033673,PMC001xxxxxx/PMC1033673.xml,,,,,,,
,PMC1033674,PMC001xxxxxx/PMC1033674.xml,,,,,,,
,PMC1033675,PMC001xxxxxx/PMC1033675.xml,,,,,,,
,PMC1033676,PMC001xxxxxx/PMC1033676.xml,,,,,,,
,PMC1033677,PMC001xxxxxx/PMC1033677.xml,,,,,,,
,PMC1033678,PMC001xxxxxx/PMC1033678.xml,,,,,,,
,PMC1033679,PMC001xxxxxx/PMC1033679.xml,,,,,,,
,PMC1033680,PMC001xxxxxx/PMC1033680.xml,,,,,,,
,PMC1033681,PMC001xxxxxx/PMC1033681.xml,,,,,,,
,PMC1033682,PMC001xxxxxx/PMC1033682.xml,,,,,,,
,PMC1033683,PMC001xxxxxx/PMC1033683.xml,,,,,,,
,PMC1033684,PMC001xxxxxx/PMC1033684.xml,,,,,,,
,PMC1033685,PMC001xxxxxx/PMC1033685.xml,,,,,,,
,PMC1033686,PMC001xxxxxx/PMC1033686.xml,,,,,,,
,PMC1033687,PMC001xxxxxx/PMC1033687.xml,,,,,,,
5342751,PMC1033692,PMC001xxxxxx/PMC1033692.xml,,,,,,,
5342752,PMC1033693,PMC001xxxxxx/PMC1033693.xml,,,,,,,
5342753,PMC1033694,PMC001xxxxxx/PMC1033694.xml,,,,,,,
5342754,PMC1033695,PMC001xxxxxx/PMC1033695.xml,,,,,,,
16562267,PMC1033696,PMC001xxxxxx/PMC1033696.xml,,,,,,,
5342755,PMC1033697,PMC001xxxxxx/PMC1033697.xml,,,,,,,
5342756,PMC1033698,PMC001xxxxxx/PMC1033698.xml,,,,,,,
5342757,PMC1033699,PMC001xxxxxx/PMC1033699.xml,,,,,,,
5342758,PMC1033700,PMC001xxxxxx/PMC1033700.xml,,,,,,,
5342759,PMC1033701,PMC001xxxxxx/PMC1033701.xml,,,,,,,
5342760,PMC1033702,PMC001xxxxxx/PMC1033702.xml,,,,,,,
,PMC1033703,PMC001xxxxxx/PMC1033703.xml,,,,,,,
,PMC1033704,PMC001xxxxxx/PMC1033704.xml,,,,,,,
,PMC1033705,PMC001xxxxxx/PMC1033705.xml,,,,,,,
,PMC1033706,PMC001xxxxxx/PMC1033706.xml,,,,,,,
,PMC1033707,PMC001xxxxxx/PMC1033707.xml,,,,,,,
,PMC1033708,PMC001xxxxxx/PMC1033708.xml,,,,,,,
,PMC1033709,PMC001xxxxxx/PMC1033709.xml,,,,,,,
,PMC1033710,PMC001xxxxxx/PMC1033710.xml,,,,,,,
,PMC1033711,PMC001xxxxxx/PMC1033711.xml,,,,,,,
,PMC1033712,PMC001xxxxxx/PMC1033712.xml,,,,,,,
,PMC1033713,PMC001xxxxxx/PMC1033713.xml,,,,,,,
,PMC1033714,PMC001xxxxxx/PMC1033714.xml,,,,,,,
,PMC1033715,PMC001xxxxxx/PMC1033715.xml,,,,,,,
,PMC1033716,PMC001xxxxxx/PMC1033716.xml,,,,,,,
,PMC1033717,PMC001xxxxxx/PMC1033717.xml,,,,,,,
,PMC1033718,PMC001xxxxxx/PMC1033718.xml,,,,,,,
,PMC1033719,PMC001xxxxxx/PMC1033719.xml,,,,,,,
,PMC1033720,PMC001xxxxxx/PMC1033720.xml,,,,,,,
,PMC1033721,PMC001xxxxxx/PMC1033721.xml,,,,,,,
,PMC1033722,PMC001xxxxxx/PMC1033722.xml,,,,,,,
4864419,PMC1033727,PMC001xxxxxx/PMC1033727.xml,,,,,,,
4864420,PMC1033728,PMC001xxxxxx/PMC1033728.xml,,,,,,,
4864421,PMC1033729,PMC001xxxxxx/PMC1033729.xml,,,,,,,
4864422,PMC1033730,PMC001xxxxxx/PMC1033730.xml,,,,,,,
4864423,PMC1033731,PMC001xxxxxx/PMC1033731.xml,,,,,,,
4294599,PMC1033732,PMC001xxxxxx/PMC1033732.xml,,,,,,,
4864424,PMC1033733,PMC001xxxxxx/PMC1033733.xml,,,,,,,
,PMC1033734,PMC001xxxxxx/PMC1033734.xml,,,,,,,
,PMC1033735,PMC001xxxxxx/PMC1033735.xml,,,,,,,
,PMC1033736,PMC001xxxxxx/PMC1033736.xml,,,,,,,
,PMC1033737,PMC001xxxxxx/PMC1033737.xml,,,,,,,
,PMC1033738,PMC001xxxxxx/PMC1033738.xml,,,,,,,
4863667,PMC1033743,PMC001xxxxxx/PMC1033743.xml,,,,,,,
4863668,PMC1033744,PMC001xxxxxx/PMC1033744.xml,,,,,,,
16562268,PMC1033745,PMC001xxxxxx/PMC1033745.xml,,,,,,,
4863669,PMC1033746,PMC001xxxxxx/PMC1033746.xml,,,,,,,
4863670,PMC1033747,PMC001xxxxxx/PMC1033747.xml,,,,,,,
4866036,PMC1033748,PMC001xxxxxx/PMC1033748.xml,,,,,,,
4863671,PMC1033749,PMC001xxxxxx/PMC1033749.xml,,,,,,,
16562269,PMC1033750,PMC001xxxxxx/PMC1033750.xml,,,,,,,
,PMC1033751,PMC001xxxxxx/PMC1033751.xml,,,,,,,
,PMC1033752,PMC001xxxxxx/PMC1033752.xml,,,,,,,
,PMC1033753,PMC001xxxxxx/PMC1033753.xml,,,,,,,
,PMC1033754,PMC001xxxxxx/PMC1033754.xml,,,,,,,
,PMC1033755,PMC001xxxxxx/PMC1033755.xml,,,,,,,
,PMC1033756,PMC001xxxxxx/PMC1033756.xml,,,,,,,
,PMC1033757,PMC001xxxxxx/PMC1033757.xml,,,,,,,
,PMC1033758,PMC001xxxxxx/PMC1033758.xml,,,,,,,
,PMC1033759,PMC001xxxxxx/PMC1033759.xml,,,,,,,
,PMC1033760,PMC001xxxxxx/PMC1033760.xml,,,,,,,
,PMC1033761,PMC001xxxxxx/PMC1033761.xml,,,,,,,
,PMC1033762,PMC001xxxxxx/PMC1033762.xml,,,,,,,
,PMC1033763,PMC001xxxxxx/PMC1033763.xml,,,,,,,
4867646,PMC1033768,PMC001xxxxxx/PMC1033768.xml,,,,,,,
4867645,PMC1033769,PMC001xxxxxx/PMC1033769.xml,,,,,,,
4867647,PMC1033770,PMC001xxxxxx/PMC1033770.xml,,,,,,,
4867648,PMC1033771,PMC001xxxxxx/PMC1033771.xml,,,,,,,
4230364,PMC1033772,PMC001xxxxxx/PMC1033772.xml,,,,,,,
4867649,PMC1033773,PMC001xxxxxx/PMC1033773.xml,,,,,,,
4867650,PMC1033774,PMC001xxxxxx/PMC1033774.xml,,,,,,,
4867651,PMC1033775,PMC001xxxxxx/PMC1033775.xml,,,,,,,
4867652,PMC1033776,PMC001xxxxxx/PMC1033776.xml,,,,,,,
,PMC1033777,PMC001xxxxxx/PMC1033777.xml,,,,,,,
,PMC1033778,PMC001xxxxxx/PMC1033778.xml,,,,,,,
,PMC1033779,PMC001xxxxxx/PMC1033779.xml,,,,,,,
,PMC1033780,PMC001xxxxxx/PMC1033780.xml,,,,,,,
,PMC1033781,PMC001xxxxxx/PMC1033781.xml,,,,,,,
,PMC1033782,PMC001xxxxxx/PMC1033782.xml,,,,,,,
,PMC1033783,PMC001xxxxxx/PMC1033783.xml,,,,,,,
,PMC1033784,PMC001xxxxxx/PMC1033784.xml,,,,,,,
,PMC1033785,PMC001xxxxxx/PMC1033785.xml,,,,,,,
,PMC1033786,PMC001xxxxxx/PMC1033786.xml,,,,,,,
,PMC1033787,PMC001xxxxxx/PMC1033787.xml,,,,,,,
,PMC1033788,PMC001xxxxxx/PMC1033788.xml,,,,,,,
,PMC1033789,PMC001xxxxxx/PMC1033789.xml,,,,,,,
,PMC1033790,PMC001xxxxxx/PMC1033790.xml,,,,,,,
,PMC1033791,PMC001xxxxxx/PMC1033791.xml,,,,,,,
,PMC1033792,PMC001xxxxxx/PMC1033792.xml,,,,,,,
4875191,PMC1033797,PMC001xxxxxx/PMC1033797.xml,,,,,,,
4875192,PMC1033798,PMC001xxxxxx/PMC1033798.xml,,,,,,,
4875193,PMC1033799,PMC001xxxxxx/PMC1033799.xml,,,,,,,
4875194,PMC1033800,PMC001xxxxxx/PMC1033800.xml,,,,,,,
4875195,PMC1033801,PMC001xxxxxx/PMC1033801.xml,,,,,,,
4875196,PMC1033802,PMC001xxxxxx/PMC1033802.xml,,,,,,,
5666532,PMC1033803,PMC001xxxxxx/PMC1033803.xml,,,,,,,
4875197,PMC1033804,PMC001xxxxxx/PMC1033804.xml,,,,,,,
4875198,PMC1033805,PMC001xxxxxx/PMC1033805.xml,,,,,,,
4875199,PMC1033806,PMC001xxxxxx/PMC1033806.xml,,,,,,,
,PMC1033807,PMC001xxxxxx/PMC1033807.xml,,,,,,,
,PMC1033808,PMC001xxxxxx/PMC1033808.xml,,,,,,,
,PMC1033809,PMC001xxxxxx/PMC1033809.xml,,,,,,,
,PMC1033810,PMC001xxxxxx/PMC1033810.xml,,,,,,,
,PMC1033811,PMC001xxxxxx/PMC1033811.xml,,,,,,,
,PMC1033812,PMC001xxxxxx/PMC1033812.xml,,,,,,,
,PMC1033813,PMC001xxxxxx/PMC1033813.xml,,,,,,,
,PMC1033814,PMC001xxxxxx/PMC1033814.xml,,,,,,,
,PMC1033815,PMC001xxxxxx/PMC1033815.xml,,,,,,,
,PMC1033816,PMC001xxxxxx/PMC1033816.xml,,,,,,,
,PMC1033817,PMC001xxxxxx/PMC1033817.xml,,,,,,,
,PMC1033818,PMC001xxxxxx/PMC1033818.xml,,,,,,,
,PMC1033819,PMC001xxxxxx/PMC1033819.xml,,,,,,,
4875609,PMC1033824,PMC001xxxxxx/PMC1033824.xml,,,,,,,
4875610,PMC1033825,PMC001xxxxxx/PMC1033825.xml,,,,,,,
4875611,PMC1033826,PMC001xxxxxx/PMC1033826.xml,,,,,,,
4875612,PMC1033827,PMC001xxxxxx/PMC1033827.xml,,,,,,,
4875613,PMC1033828,PMC001xxxxxx/PMC1033828.xml,,,,,,,
4875614,PMC1033829,PMC001xxxxxx/PMC1033829.xml,,,,,,,
16562270,PMC1033830,PMC001xxxxxx/PMC1033830.xml,,,,,,,
,PMC1033831,PMC001xxxxxx/PMC1033831.xml,,,,,,,
,PMC1033832,PMC001xxxxxx/PMC1033832.xml,,,,,,,
,PMC1033833,PMC001xxxxxx/PMC1033833.xml,,,,,,,
,PMC1033834,PMC001xxxxxx/PMC1033834.xml,,,,,,,
,PMC1033835,PMC001xxxxxx/PMC1033835.xml,,,,,,,
,PMC1033836,PMC001xxxxxx/PMC1033836.xml,,,,,,,
,PMC1033837,PMC001xxxxxx/PMC1033837.xml,,,,,,,
,PMC1033838,PMC001xxxxxx/PMC1033838.xml,,,,,,,
,PMC1033839,PMC001xxxxxx/PMC1033839.xml,,,,,,,
,PMC1033840,PMC001xxxxxx/PMC1033840.xml,,,,,,,
,PMC1033841,PMC001xxxxxx/PMC1033841.xml,,,,,,,
,PMC1033842,PMC001xxxxxx/PMC1033842.xml,,,,,,,
,PMC1033843,PMC001xxxxxx/PMC1033843.xml,,,,,,,
,PMC1033844,PMC001xxxxxx/PMC1033844.xml,,,,,,,
,PMC1033845,PMC001xxxxxx/PMC1033845.xml,,,,,,,
,PMC1033846,PMC001xxxxxx/PMC1033846.xml,,,,,,,
,PMC1033847,PMC001xxxxxx/PMC1033847.xml,,,,,,,
,PMC1033848,PMC001xxxxxx/PMC1033848.xml,,,,,,,
,PMC1033849,PMC001xxxxxx/PMC1033849.xml,,,,,,,
,PMC1033850,PMC001xxxxxx/PMC1033850.xml,,,,,,,
,PMC1033851,PMC001xxxxxx/PMC1033851.xml,,,,,,,
,PMC1033852,PMC001xxxxxx/PMC1033852.xml,,,,,,,
,PMC1033853,PMC001xxxxxx/PMC1033853.xml,,,,,,,
,PMC1033854,PMC001xxxxxx/PMC1033854.xml,,,,,,,
,PMC1033855,PMC001xxxxxx/PMC1033855.xml,,,,,,,
4885495,PMC1033860,PMC001xxxxxx/PMC1033860.xml,,,,,,,
4885496,PMC1033861,PMC001xxxxxx/PMC1033861.xml,,,,,,,
4884220,PMC1033862,PMC001xxxxxx/PMC1033862.xml,,,,,,,
4884221,PMC1033863,PMC001xxxxxx/PMC1033863.xml,,,,,,,
4884222,PMC1033864,PMC001xxxxxx/PMC1033864.xml,,,,,,,
4884223,PMC1033865,PMC001xxxxxx/PMC1033865.xml,,,,,,,
16562271,PMC1033866,PMC001xxxxxx/PMC1033866.xml,,,,,,,
16562272,PMC1033867,PMC001xxxxxx/PMC1033867.xml,,,,,,,
,PMC1033868,PMC001xxxxxx/PMC1033868.xml,,,,,,,
,PMC1033869,PMC001xxxxxx/PMC1033869.xml,,,,,,,
,PMC1033870,PMC001xxxxxx/PMC1033870.xml,,,,,,,
,PMC1033871,PMC001xxxxxx/PMC1033871.xml,,,,,,,
,PMC1033872,PMC001xxxxxx/PMC1033872.xml,,,,,,,
,PMC1033873,PMC001xxxxxx/PMC1033873.xml,,,,,,,
,PMC1033874,PMC001xxxxxx/PMC1033874.xml,,,,,,,
,PMC1033875,PMC001xxxxxx/PMC1033875.xml,,,,,,,
,PMC1033876,PMC001xxxxxx/PMC1033876.xml,,,,,,,
,PMC1033877,PMC001xxxxxx/PMC1033877.xml,,,,,,,
,PMC1033878,PMC001xxxxxx/PMC1033878.xml,,,,,,,
,PMC1033879,PMC001xxxxxx/PMC1033879.xml,,,,,,,
,PMC1033880,PMC001xxxxxx/PMC1033880.xml,,,,,,,
,PMC1033881,PMC001xxxxxx/PMC1033881.xml,,,,,,,
,PMC1033882,PMC001xxxxxx/PMC1033882.xml,,,,,,,
,PMC1033883,PMC001xxxxxx/PMC1033883.xml,,,,,,,
,PMC1033884,PMC001xxxxxx/PMC1033884.xml,,,,,,,
,PMC1033888,PMC001xxxxxx/PMC1033888.xml,,,,,,,
4891828,PMC1033890,PMC001xxxxxx/PMC1033890.xml,,,,,,,
4890037,PMC1033891,PMC001xxxxxx/PMC1033891.xml,,,,,,,
4890038,PMC1033892,PMC001xxxxxx/PMC1033892.xml,,,,,,,
4890039,PMC1033893,PMC001xxxxxx/PMC1033893.xml,,,,,,,
4890040,PMC1033894,PMC001xxxxxx/PMC1033894.xml,,,,,,,
4890041,PMC1033895,PMC001xxxxxx/PMC1033895.xml,,,,,,,
4890042,PMC1033896,PMC001xxxxxx/PMC1033896.xml,,,,,,,
4890043,PMC1033897,PMC001xxxxxx/PMC1033897.xml,,,,,,,
5769456,PMC1033898,PMC001xxxxxx/PMC1033898.xml,,,,,,,
4891829,PMC1033899,PMC001xxxxxx/PMC1033899.xml,,,,,,,
,PMC1033900,PMC001xxxxxx/PMC1033900.xml,,,,,,,
,PMC1033901,PMC001xxxxxx/PMC1033901.xml,,,,,,,
,PMC1033902,PMC001xxxxxx/PMC1033902.xml,,,,,,,
,PMC1033903,PMC001xxxxxx/PMC1033903.xml,,,,,,,
,PMC1033904,PMC001xxxxxx/PMC1033904.xml,,,,,,,
,PMC1033905,PMC001xxxxxx/PMC1033905.xml,,,,,,,
,PMC1033906,PMC001xxxxxx/PMC1033906.xml,,,,,,,
,PMC1033907,PMC001xxxxxx/PMC1033907.xml,,,,,,,
,PMC1033908,PMC001xxxxxx/PMC1033908.xml,,,,,,,
,PMC1033909,PMC001xxxxxx/PMC1033909.xml,,,,,,,
,PMC1033910,PMC001xxxxxx/PMC1033910.xml,,,,,,,
,PMC1033911,PMC001xxxxxx/PMC1033911.xml,,,,,,,
,PMC1033912,PMC001xxxxxx/PMC1033912.xml,,,,,,,
,PMC1033913,PMC001xxxxxx/PMC1033913.xml,,,,,,,
,PMC1033914,PMC001xxxxxx/PMC1033914.xml,,,,,,,
,PMC1033915,PMC001xxxxxx/PMC1033915.xml,,,,,,,
,PMC1033916,PMC001xxxxxx/PMC1033916.xml,,,,,,,
,PMC1033917,PMC001xxxxxx/PMC1033917.xml,,,,,,,
,PMC1033918,PMC001xxxxxx/PMC1033918.xml,,,,,,,
4890044,PMC1033923,PMC001xxxxxx/PMC1033923.xml,,,,,,,
4890045,PMC1033924,PMC001xxxxxx/PMC1033924.xml,,,,,,,
4890046,PMC1033925,PMC001xxxxxx/PMC1033925.xml,,,,,,,
4890047,PMC1033926,PMC001xxxxxx/PMC1033926.xml,,,,,,,
4890048,PMC1033927,PMC001xxxxxx/PMC1033927.xml,,,,,,,
4890049,PMC1033928,PMC001xxxxxx/PMC1033928.xml,,,,,,,
,PMC1033929,PMC001xxxxxx/PMC1033929.xml,,,,,,,
,PMC1033930,PMC001xxxxxx/PMC1033930.xml,,,,,,,
,PMC1033931,PMC001xxxxxx/PMC1033931.xml,,,,,,,
,PMC1033932,PMC001xxxxxx/PMC1033932.xml,,,,,,,
,PMC1033933,PMC001xxxxxx/PMC1033933.xml,,,,,,,
,PMC1033934,PMC001xxxxxx/PMC1033934.xml,,,,,,,
,PMC1033935,PMC001xxxxxx/PMC1033935.xml,,,,,,,
,PMC1033936,PMC001xxxxxx/PMC1033936.xml,,,,,,,
,PMC1033937,PMC001xxxxxx/PMC1033937.xml,,,,,,,
,PMC1033938,PMC001xxxxxx/PMC1033938.xml,,,,,,,
,PMC1033939,PMC001xxxxxx/PMC1033939.xml,,,,,,,
,PMC1033940,PMC001xxxxxx/PMC1033940.xml,,,,,,,
,PMC1033941,PMC001xxxxxx/PMC1033941.xml,,,,,,,
,PMC1033942,PMC001xxxxxx/PMC1033942.xml,,,,,,,
,PMC1033943,PMC001xxxxxx/PMC1033943.xml,,,,,,,
,PMC1033944,PMC001xxxxxx/PMC1033944.xml,,,,,,,
4893621,PMC1033949,PMC001xxxxxx/PMC1033949.xml,,,,,,,
4893622,PMC1033950,PMC001xxxxxx/PMC1033950.xml,,,,,,,
4893623,PMC1033951,PMC001xxxxxx/PMC1033951.xml,,,,,,,
4893624,PMC1033952,PMC001xxxxxx/PMC1033952.xml,,,,,,,
4893625,PMC1033953,PMC001xxxxxx/PMC1033953.xml,,,,,,,
4893626,PMC1033954,PMC001xxxxxx/PMC1033954.xml,,,,,,,
4893627,PMC1033955,PMC001xxxxxx/PMC1033955.xml,,,,,,,
4893628,PMC1033956,PMC001xxxxxx/PMC1033956.xml,,,,,,,
4893629,PMC1033957,PMC001xxxxxx/PMC1033957.xml,,,,,,,
4894769,PMC1033958,PMC001xxxxxx/PMC1033958.xml,,,,,,,
,PMC1033959,PMC001xxxxxx/PMC1033959.xml,,,,,,,
5793948,PMC1033960,PMC001xxxxxx/PMC1033960.xml,,,,,,,
,PMC1033961,PMC001xxxxxx/PMC1033961.xml,,,,,,,
,PMC1033962,PMC001xxxxxx/PMC1033962.xml,,,,,,,
,PMC1033963,PMC001xxxxxx/PMC1033963.xml,,,,,,,
,PMC1033964,PMC001xxxxxx/PMC1033964.xml,,,,,,,
,PMC1033965,PMC001xxxxxx/PMC1033965.xml,,,,,,,
,PMC1033966,PMC001xxxxxx/PMC1033966.xml,,,,,,,
,PMC1033967,PMC001xxxxxx/PMC1033967.xml,,,,,,,
,PMC1033968,PMC001xxxxxx/PMC1033968.xml,,,,,,,
,PMC1033969,PMC001xxxxxx/PMC1033969.xml,,,,,,,
,PMC1033970,PMC001xxxxxx/PMC1033970.xml,,,,,,,
,PMC1033971,PMC001xxxxxx/PMC1033971.xml,,,,,,,
,PMC1033972,PMC001xxxxxx/PMC1033972.xml,,,,,,,
,PMC1033973,PMC001xxxxxx/PMC1033973.xml,,,,,,,
4899813,PMC1033978,PMC001xxxxxx/PMC1033978.xml,,,,,,,
4899814,PMC1033979,PMC001xxxxxx/PMC1033979.xml,,,,,,,
4899815,PMC1033980,PMC001xxxxxx/PMC1033980.xml,,,,,,,
4899816,PMC1033981,PMC001xxxxxx/PMC1033981.xml,,,,,,,
4899817,PMC1033982,PMC001xxxxxx/PMC1033982.xml,,,,,,,
4899818,PMC1033983,PMC001xxxxxx/PMC1033983.xml,,,,,,,
4899819,PMC1033984,PMC001xxxxxx/PMC1033984.xml,,,,,,,
,PMC1033985,PMC001xxxxxx/PMC1033985.xml,,,,,,,
,PMC1033986,PMC001xxxxxx/PMC1033986.xml,,,,,,,
