pmid,pmc,publisher-id,doi,File,medline,manuscript,art-access-id,publisher-manuscript,other
,PMC11019700,514041,10.1364/BOE.514041,PMC011xxxxxx/PMC11019700.xml,,,,,
,PMC11019701,520735,10.1364/BOE.520735,PMC011xxxxxx/PMC11019701.xml,,,,,
,PMC11019702,518204,10.1364/BOE.518204,PMC011xxxxxx/PMC11019702.xml,,,,,
,PMC11019703,521652,10.1364/BOE.521652,PMC011xxxxxx/PMC11019703.xml,,,,,
,PMC11019704,518910,10.1364/BOE.518910,PMC011xxxxxx/PMC11019704.xml,,,,,
,PMC11019706,507373,10.1364/BOE.507373,PMC011xxxxxx/PMC11019706.xml,,,,,
,PMC11019707,507690,10.1364/BOE.507690,PMC011xxxxxx/PMC11019707.xml,,,,,
,PMC11019708,518967,10.1364/BOE.518967,PMC011xxxxxx/PMC11019708.xml,,,,,
,PMC11019709,516609,10.1364/BOE.516609,PMC011xxxxxx/PMC11019709.xml,,,,,
,PMC11019710,516515,10.1364/BOE.516515,PMC011xxxxxx/PMC11019710.xml,,,,,
,PMC11019711,514079,10.1364/BOE.514079,PMC011xxxxxx/PMC11019711.xml,,,,,
,PMC11019712,518957,10.1364/BOE.518957,PMC011xxxxxx/PMC11019712.xml,,,,,
38531654,PMC11019744,RA,10.1261/rna.079948.124,PMC011xxxxxx/PMC11019744.xml,9509184,,,,
38530054,PMC11019842,msystems.00294-24,10.1128/msystems.00294-24,PMC011xxxxxx/PMC11019842.xml,,,,,
,PMC11020009,EHP15045,10.1289/EHP15045,PMC011xxxxxx/PMC11020009.xml,,,,,
,PMC11020022,EHP12950,10.1289/EHP12950,PMC011xxxxxx/PMC11020022.xml,,,,,
38570994,PMC11021045,517417,10.1364/OE.517417,PMC011xxxxxx/PMC11021045.xml,,,,,
38181313,PMC11023037,WNL-2023-005154,10.1212/WNL.0000000000208081,PMC011xxxxxx/PMC11023037.xml,,,,,
38181329,PMC11023038,WNL-2023-002706,10.1212/WNL.0000000000208035,PMC011xxxxxx/PMC11023038.xml,,,,,
38630603,PMC11023048,EHP14501,10.1289/EHP14501,PMC011xxxxxx/PMC11023048.xml,,,,,
38630606,PMC11023050,EHP15072,10.1289/EHP15072,PMC011xxxxxx/PMC11023050.xml,,,,,
38630605,PMC11023052,EHP13955,10.1289/EHP13955,PMC011xxxxxx/PMC11023052.xml,,,,,
38126871,PMC11027509,,10.1021/acsami.3c18419,PMC011xxxxxx/PMC11027509.xml,,,,,
38150635,PMC11027511,,10.1021/acsami.3c15036,PMC011xxxxxx/PMC11027511.xml,,,,,
,PMC11027961,MSM-32-196,10.5455/msm.2020.32.196-199,PMC011xxxxxx/PMC11027961.xml,,,,,
38241027,PMC11031440,230599,10.2337/db23-0599,PMC011xxxxxx/PMC11031440.xml,,,,,
38471046,PMC11033987,WNL-2023-006331,10.1212/WNL.0000000000209203,PMC011xxxxxx/PMC11033987.xml,,,,,
,PMC11034633,EHP14722,10.1289/EHP14722,PMC011xxxxxx/PMC11034633.xml,,,,,
38650843,PMC11034913,,10.1038/s42256-020-0159-4,PMC011xxxxxx/PMC11034913.xml,,NIHMS1558607,,,
38666200,PMC11040009,cd24a009,10.2337/cd24-a009,PMC011xxxxxx/PMC11040009.xml,,,,,
38666196,PMC11040010,CD230073,10.2337/cd23-0073,PMC011xxxxxx/PMC11040010.xml,,,,,
38666198,PMC11040011,CD24-aint,10.2337/cd24-aint,PMC011xxxxxx/PMC11040011.xml,,,,,
38666199,PMC11040012,cd24a013,10.2337/cd24-a013,PMC011xxxxxx/PMC11040012.xml,,,,,
38666204,PMC11040013,cd24a011,10.2337/cd24-a011,PMC011xxxxxx/PMC11040013.xml,,,,,
38666207,PMC11040014,CD230076,10.2337/cd23-0076,PMC011xxxxxx/PMC11040014.xml,,,,,
38666201,PMC11040015,cd24a005,10.2337/cd24-a005,PMC011xxxxxx/PMC11040015.xml,,,,,
38666211,PMC11040016,cd24a016,10.2337/cd24-a016,PMC011xxxxxx/PMC11040016.xml,,,,,
38666195,PMC11040017,cd24a010,10.2337/cd24-a010,PMC011xxxxxx/PMC11040017.xml,,,,,
38666209,PMC11040018,cd24a007,10.2337/cd24-a007,PMC011xxxxxx/PMC11040018.xml,,,,,
38666192,PMC11040020,cd24a006,10.2337/cd24-a006,PMC011xxxxxx/PMC11040020.xml,,,,,
38666194,PMC11040021,CD230047,10.2337/cd23-0047,PMC011xxxxxx/PMC11040021.xml,,,,,
38666208,PMC11040022,cd24-a003,10.2337/cd24-a003,PMC011xxxxxx/PMC11040022.xml,,,,,
38666191,PMC11040023,cd24a015,10.2337/cd24-a015,PMC011xxxxxx/PMC11040023.xml,,,,,
38666203,PMC11040024,cd24a001,10.2337/cd24-a001,PMC011xxxxxx/PMC11040024.xml,,,,,
38666205,PMC11040025,cd24a008,10.2337/cd24-a008,PMC011xxxxxx/PMC11040025.xml,,,,,
38666202,PMC11040026,cd24a004,10.2337/cd24-a004,PMC011xxxxxx/PMC11040026.xml,,,,,
38666197,PMC11040027,cd24a012,10.2337/cd24-a012,PMC011xxxxxx/PMC11040027.xml,,,,,
38666193,PMC11040028,cd24a002,10.2337/cd24-a002,PMC011xxxxxx/PMC11040028.xml,,,,,
38666210,PMC11040029,CD230003,10.2337/cd23-0003,PMC011xxxxxx/PMC11040029.xml,,,,,
38666206,PMC11040030,cd24a014,10.2337/cd24-a014,PMC011xxxxxx/PMC11040030.xml,,,,,
,PMC11041623,EHP13899,10.1289/EHP13899,PMC011xxxxxx/PMC11041623.xml,,,,,
,PMC11041624,EHP14120,10.1289/EHP14120,PMC011xxxxxx/PMC11041624.xml,,,,,
,PMC11041625,EHP12787,10.1289/EHP12787,PMC011xxxxxx/PMC11041625.xml,,,,,
,PMC11042526,EHP14904,10.1289/EHP14904,PMC011xxxxxx/PMC11042526.xml,,,,,
,PMC11042527,EHP14884,10.1289/EHP14884,PMC011xxxxxx/PMC11042527.xml,,,,,
38387049,PMC11043055,230901,10.2337/db23-0901,PMC011xxxxxx/PMC11043055.xml,,,,,
38387045,PMC11043056,i230019,10.2337/dbi23-0019,PMC011xxxxxx/PMC11043056.xml,,,,,
38320260,PMC11043058,230377,10.2337/db23-0377,PMC011xxxxxx/PMC11043058.xml,,,,,
38320300,PMC11043064,230609,10.2337/db23-0609,PMC011xxxxxx/PMC11043064.xml,,,,,
38394365,PMC11043219,232501,10.2337/dc23-2501,PMC011xxxxxx/PMC11043219.xml,,,,,
38113453,PMC11043222,231581,10.2337/dc23-1581,PMC011xxxxxx/PMC11043222.xml,,,,,
38470988,PMC11043223,232364,10.2337/dc23-2364,PMC011xxxxxx/PMC11043223.xml,,,,,
38427346,PMC11043225,231514,10.2337/dc23-1514,PMC011xxxxxx/PMC11043225.xml,,,,,
38592034,PMC11043226,232448,10.2337/dc23-2448,PMC011xxxxxx/PMC11043226.xml,,,,,
38329838,PMC11043229,i230038,10.2337/dci23-0038,PMC011xxxxxx/PMC11043229.xml,,,,,
38662525,PMC11045006,EHP13790,10.1289/EHP13790,PMC011xxxxxx/PMC11045006.xml,,,,,
38576410,PMC11047312,CLINOBGYN-D-24-00009,10.1097/GRF.0000000000000867,PMC011xxxxxx/PMC11047312.xml,,,00024,,
34893553,PMC11048261,JPET_AR2021000711,10.1124/jpet.121.000711,PMC011xxxxxx/PMC11048261.xml,,,,,
38669179,PMC11050996,EHP13128,10.1289/EHP13128,PMC011xxxxxx/PMC11050996.xml,,,,,
38690229,PMC11057461,24-0409,10.1117/1.JMI.11.2.020101,PMC011xxxxxx/PMC11057461.xml,,,,JMI-24-0409,
,PMC11057664,EHP14199,10.1289/EHP14199,PMC011xxxxxx/PMC11057664.xml,,,,,
,PMC11057665,EHP13549,10.1289/EHP13549,PMC011xxxxxx/PMC11057665.xml,,,,,
,PMC11057678,EHP13556,10.1289/EHP13556,PMC011xxxxxx/PMC11057678.xml,,,,,
38687630,PMC11060424,EHP14529,10.1289/EHP14529,PMC011xxxxxx/PMC11060424.xml,,,,,
38630604,PMC11060513,EHP13524,10.1289/EHP13524,PMC011xxxxxx/PMC11060513.xml,,,,,
38501867,PMC11064506,spectrum.00508-24,10.1128/spectrum.00508-24,PMC011xxxxxx/PMC11064506.xml,,,,,
38631822,PMC11065167,,10.1101/gad.351747.124,PMC011xxxxxx/PMC11065167.xml,8711660,,,,
38330286,PMC11067697,WNL-2023-005049,10.1212/WNL.0000000000209140,PMC011xxxxxx/PMC11067697.xml,,,,,
38664005,PMC11067711,,10.1101/gr.279293.124,PMC011xxxxxx/PMC11067711.xml,9509184,,,,
38639434,PMC11067899,,10.1021/jasms.4c00044,PMC011xxxxxx/PMC11067899.xml,,,,,
38701113,PMC11068155,EHP13854,10.1289/EHP13854,PMC011xxxxxx/PMC11068155.xml,,,,,
38701112,PMC11068156,EHP13214,10.1289/EHP13214,PMC011xxxxxx/PMC11068156.xml,,,,,
26364615,PMC11073473,,10.1038/onc.2015.98,PMC011xxxxxx/PMC11073473.xml,,NIHMS668523,,,
38624210,PMC11077993,mbio.00729-24,10.1128/mbio.00729-24,PMC011xxxxxx/PMC11077993.xml,,,,,
38717751,PMC11078218,EHP14613,10.1289/EHP14613,PMC011xxxxxx/PMC11078218.xml,,,,,
38629846,PMC11080555,mra.00012-24,10.1128/mra.00012-24,PMC011xxxxxx/PMC11080555.xml,,,,,
38725442,PMC11081605,CCE-D-24-00080,10.1097/CCE.0000000000001092,PMC011xxxxxx/PMC11081605.xml,,,00006,,
38728219,PMC11086747,EHP13878,10.1289/EHP13878,PMC011xxxxxx/PMC11086747.xml,,,,,
38728217,PMC11086748,EHP12695,10.1289/EHP12695,PMC011xxxxxx/PMC11086748.xml,,,,,
38728218,PMC11086749,EHP13644,10.1289/EHP13644,PMC011xxxxxx/PMC11086749.xml,,,,,
,PMC11086961,CCE-D-24-00015,10.1097/CCE.0000000000001090,PMC011xxxxxx/PMC11086961.xml,,,00008,,
38746740,PMC11093573,CCE-D-24-00064,10.1097/CCE.0000000000001091,PMC011xxxxxx/PMC11093573.xml,,,00011,,
31578527,PMC11095661,,10.1038/s41586-019-1622-4,PMC011xxxxxx/PMC11095661.xml,,NIHMS1539272,,,
37939079,PMC11095863,HEP-23-0197,10.1097/HEP.0000000000000658,PMC011xxxxxx/PMC11095863.xml,,,00021,,
38752990,PMC11098006,EHP14057,10.1289/EHP14057,PMC011xxxxxx/PMC11098006.xml,,,,,
38752991,PMC11098007,EHP13732,10.1289/EHP13732,PMC011xxxxxx/PMC11098007.xml,,,,,
38752992,PMC11098008,EHP14108,10.1289/EHP14108,PMC011xxxxxx/PMC11098008.xml,,,,,
38758117,PMC11100459,EHP14414,10.1289/EHP14414,PMC011xxxxxx/PMC11100459.xml,,,,,
38758118,PMC11100461,EHP14881,10.1289/EHP14881,PMC011xxxxxx/PMC11100461.xml,,,,,
31350618,PMC11105488,3241,10.1007/s00018-019-03241-y,PMC011xxxxxx/PMC11105488.xml,,,,,
38771936,PMC11108580,EHP15318,10.1289/EHP15318,PMC011xxxxxx/PMC11108580.xml,,,,,
38771935,PMC11108581,EHP13961,10.1289/EHP13961,PMC011xxxxxx/PMC11108581.xml,,,,,
38771937,PMC11108582,EHP13855,10.1289/EHP13855,PMC011xxxxxx/PMC11108582.xml,,,,,
38498373,PMC11109772,240016,10.2337/db24-0016,PMC011xxxxxx/PMC11109772.xml,,,,,
37870826,PMC11109779,230450,10.2337/db23-0450,PMC011xxxxxx/PMC11109779.xml,,,,,
38498375,PMC11109783,230805,10.2337/db23-0805,PMC011xxxxxx/PMC11109783.xml,,,,,
38530923,PMC11109785,230925,10.2337/db23-0925,PMC011xxxxxx/PMC11109785.xml,,,,,
38530928,PMC11109787,231005,10.2337/db23-1005,PMC011xxxxxx/PMC11109787.xml,,,,,
38471012,PMC11109800,230553,10.2337/db23-0553,PMC011xxxxxx/PMC11109800.xml,,,,,
38502858,PMC11109801,230157,10.2337/db23-0157,PMC011xxxxxx/PMC11109801.xml,,,,,
38775487,PMC11110653,EHP15000,10.1289/EHP15000,PMC011xxxxxx/PMC11110653.xml,,,,,
38775485,PMC11110654,EHP14213,10.1289/EHP14213,PMC011xxxxxx/PMC11110654.xml,,,,,
38775486,PMC11110655,EHP13254,10.1289/EHP13254,PMC011xxxxxx/PMC11110655.xml,,,,,
38780454,PMC11114102,EHP13381,10.1289/EHP13381,PMC011xxxxxx/PMC11114102.xml,,,,,
,PMC11115975,EE-D-24-00026,10.1097/EE9.0000000000000311,PMC011xxxxxx/PMC11115975.xml,,,00006,,
38768328,PMC11116906,240317,10.2337/dc24-0317,PMC011xxxxxx/PMC11116906.xml,,,,,
38639997,PMC11116907,232356,10.2337/dc23-2356,PMC011xxxxxx/PMC11116907.xml,,,,,
38536962,PMC11116908,231858,10.2337/dc23-1858,PMC011xxxxxx/PMC11116908.xml,,,,,
38295397,PMC11116910,231765,10.2337/dc23-1765,PMC011xxxxxx/PMC11116910.xml,,,,,
38387079,PMC11116912,232184,10.2337/dc23-2184,PMC011xxxxxx/PMC11116912.xml,,,,,
38569055,PMC11116913,232176,10.2337/dc23-2176,PMC011xxxxxx/PMC11116913.xml,,,,,
38530948,PMC11116914,232366,10.2337/dc23-2366,PMC011xxxxxx/PMC11116914.xml,,,,,
38412005,PMC11116916,231663,10.2337/dc23-1663,PMC011xxxxxx/PMC11116916.xml,,,,,
38656546,PMC11116917,232275,10.2337/dc23-2275,PMC011xxxxxx/PMC11116917.xml,,,,,
38498331,PMC11116921,231937,10.2337/dc23-1937,PMC011xxxxxx/PMC11116921.xml,,,,,
38638032,PMC11116924,240241,10.2337/dc24-0241,PMC011xxxxxx/PMC11116924.xml,,,,,
,PMC11117680,,10.1021/acscentsci.4c00703,PMC011xxxxxx/PMC11117680.xml,,,,,
38813133,PMC11132119,CAT.23.0322,10.1056/CAT.23.0322,PMC011xxxxxx/PMC11132119.xml,,,,,
38817359,PMC11137765,2340327,10.2144/fsoa-2023-0032,PMC011xxxxxx/PMC11137765.xml,,,,,
,PMC11146584,,10.1101/gad.351813.124,PMC011xxxxxx/PMC11146584.xml,8711660,,,,
,PMC11146585,,10.1101/gad.351832.124,PMC011xxxxxx/PMC11146585.xml,8711660,,,,
38841528,PMC11150028,GOX-D-23-01086,10.1097/GOX.0000000000005859,PMC011xxxxxx/PMC11150028.xml,,,00007,,
38416436,PMC11156183,NJ202402293900920,10.1056/NEJMc2311200,PMC011xxxxxx/PMC11156183.xml,,,,,
38416434,PMC11156184,NJ202402293900918,10.1056/NEJMe2400189,PMC011xxxxxx/PMC11156184.xml,,,,,
38381681,PMC11156185,NJ202402223900818,10.1056/NEJMc2313517,PMC011xxxxxx/PMC11156185.xml,,,,,
38231624,PMC11156186,NJ202401183900309,10.1056/NEJMoa2301425,PMC011xxxxxx/PMC11156186.xml,,,,,
38657253,PMC11156227,NJ202404253901619,10.1056/NEJMc2402378,PMC011xxxxxx/PMC11156227.xml,,,,,
38598581,PMC11156228,NJ202404043901316,10.1056/NEJMe2402224,PMC011xxxxxx/PMC11156228.xml,,,,,
38749053,PMC11156229,NJ202405163901925,10.1056/NEJMc2403409,PMC011xxxxxx/PMC11156229.xml,,,,,
38598573,PMC11156287,NJ202404043901308,10.1056/NEJMoa2309003,PMC011xxxxxx/PMC11156287.xml,,,,,
,PMC11161336,519078,10.1364/BOE.519078,PMC011xxxxxx/PMC11161336.xml,,,,,
,PMC11161337,520551,10.1364/BOE.520551,PMC011xxxxxx/PMC11161337.xml,,,,,
,PMC11161338,523835,10.1364/BOE.523835,PMC011xxxxxx/PMC11161338.xml,,,,,
,PMC11161339,509227,10.1364/BOE.509227,PMC011xxxxxx/PMC11161339.xml,,,,,
,PMC11161340,515781,10.1364/BOE.515781,PMC011xxxxxx/PMC11161340.xml,,,,,
,PMC11161341,516956,10.1364/BOE.516956,PMC011xxxxxx/PMC11161341.xml,,,,,
,PMC11161342,516229,10.1364/BOE.516229,PMC011xxxxxx/PMC11161342.xml,,,,,
,PMC11161343,518976,10.1364/BOE.518976,PMC011xxxxxx/PMC11161343.xml,,,,,
,PMC11161344,516049,10.1364/BOE.516049,PMC011xxxxxx/PMC11161344.xml,,,,,
,PMC11161345,515446,10.1364/BOE.515446,PMC011xxxxxx/PMC11161345.xml,,,,,
,PMC11161346,522563,10.1364/BOE.522563,PMC011xxxxxx/PMC11161346.xml,,,,,
,PMC11161347,528504,10.1364/BOE.528504,PMC011xxxxxx/PMC11161347.xml,,,,,
,PMC11161348,521500,10.1364/BOE.521500,PMC011xxxxxx/PMC11161348.xml,,,,,
,PMC11161349,520195,10.1364/BOE.520195,PMC011xxxxxx/PMC11161349.xml,,,,,
,PMC11161350,523849,10.1364/BOE.523849,PMC011xxxxxx/PMC11161350.xml,,,,,
,PMC11161351,516063,10.1364/BOE.516063,PMC011xxxxxx/PMC11161351.xml,,,,,
,PMC11161352,512193,10.1364/BOE.512193,PMC011xxxxxx/PMC11161352.xml,,,,,
,PMC11161353,521453,10.1364/BOE.521453,PMC011xxxxxx/PMC11161353.xml,,,,,
,PMC11161354,525699,10.1364/BOE.525699,PMC011xxxxxx/PMC11161354.xml,,,,,
,PMC11161355,521362,10.1364/BOE.521362,PMC011xxxxxx/PMC11161355.xml,,,,,
,PMC11161356,517757,10.1364/BOE.517757,PMC011xxxxxx/PMC11161356.xml,,,,,
,PMC11161357,514539,10.1364/BOE.514539,PMC011xxxxxx/PMC11161357.xml,,,,,
,PMC11161358,523361,10.1364/BOE.523361,PMC011xxxxxx/PMC11161358.xml,,,,,
,PMC11161359,511806,10.1364/BOE.511806,PMC011xxxxxx/PMC11161359.xml,,,,,
,PMC11161360,522379,10.1364/BOE.522379,PMC011xxxxxx/PMC11161360.xml,,,,,
,PMC11161361,516477,10.1364/BOE.516477,PMC011xxxxxx/PMC11161361.xml,,,,,
,PMC11161362,522441,10.1364/BOE.522441,PMC011xxxxxx/PMC11161362.xml,,,,,
,PMC11161363,522482,10.1364/BOE.522482,PMC011xxxxxx/PMC11161363.xml,,,,,
,PMC11161364,506777,10.1364/BOE.506777,PMC011xxxxxx/PMC11161364.xml,,,,,
,PMC11161365,527355,10.1364/BOE.527355,PMC011xxxxxx/PMC11161365.xml,,,,,
,PMC11161366,519090,10.1364/BOE.519090,PMC011xxxxxx/PMC11161366.xml,,,,,
,PMC11161367,523055,10.1364/BOE.523055,PMC011xxxxxx/PMC11161367.xml,,,,,
,PMC11161368,527613,10.1364/BOE.527613,PMC011xxxxxx/PMC11161368.xml,,,,,
,PMC11161369,520161,10.1364/BOE.520161,PMC011xxxxxx/PMC11161369.xml,,,,,
,PMC11161370,519964,10.1364/BOE.519964,PMC011xxxxxx/PMC11161370.xml,,,,,
,PMC11161371,519743,10.1364/BOE.519743,PMC011xxxxxx/PMC11161371.xml,,,,,
,PMC11161372,518895,10.1364/BOE.518895,PMC011xxxxxx/PMC11161372.xml,,,,,
,PMC11161374,520739,10.1364/BOE.520739,PMC011xxxxxx/PMC11161374.xml,,,,,
,PMC11161375,519093,10.1364/BOE.519093,PMC011xxxxxx/PMC11161375.xml,,,,,
,PMC11161376,520729,10.1364/BOE.520729,PMC011xxxxxx/PMC11161376.xml,,,,,
,PMC11161377,521478,10.1364/BOE.521478,PMC011xxxxxx/PMC11161377.xml,,,,,
,PMC11161379,514904,10.1364/BOE.514904,PMC011xxxxxx/PMC11161379.xml,,,,,
,PMC11161380,519006,10.1364/BOE.519006,PMC011xxxxxx/PMC11161380.xml,,,,,
,PMC11161381,521059,10.1364/BOE.521059,PMC011xxxxxx/PMC11161381.xml,,,,,
,PMC11161382,517737,10.1364/BOE.517737,PMC011xxxxxx/PMC11161382.xml,,,,,
,PMC11161383,519531,10.1364/BOE.519531,PMC011xxxxxx/PMC11161383.xml,,,,,
,PMC11161384,519931,10.1364/BOE.519931,PMC011xxxxxx/PMC11161384.xml,,,,,
,PMC11161385,516481,10.1364/BOE.516481,PMC011xxxxxx/PMC11161385.xml,,,,,
,PMC11161386,518562,10.1364/BOE.518562,PMC011xxxxxx/PMC11161386.xml,,,,,
,PMC11161387,517826,10.1364/BOE.517826,PMC011xxxxxx/PMC11161387.xml,,,,,
34125583,PMC11163839,ecosalplus.esp-0008-2020,10.1128/ecosalplus.ESP-0008-2020,PMC011xxxxxx/PMC11163839.xml,,,,,
38829735,PMC11166382,EHP13293,10.1289/EHP13293,PMC011xxxxxx/PMC11166382.xml,,,,,
38833378,PMC11166411,EHP14939,10.1289/EHP14939,PMC011xxxxxx/PMC11166411.xml,,,,,
38829734,PMC11166412,EHP13237,10.1289/EHP13237,PMC011xxxxxx/PMC11166412.xml,,,,,
38833407,PMC11166413,EHP14074,10.1289/EHP14074,PMC011xxxxxx/PMC11166413.xml,,,,,
38814861,PMC11166414,EHP14923,10.1289/EHP14923,PMC011xxxxxx/PMC11166414.xml,,,,,
,PMC11166415,524356,10.1364/BOE.524356,PMC011xxxxxx/PMC11166415.xml,,,,,
,PMC11166416,514196,10.1364/BOE.514196,PMC011xxxxxx/PMC11166416.xml,,,,,
,PMC11166417,523312,10.1364/BOE.523312,PMC011xxxxxx/PMC11166417.xml,,,,,
,PMC11166418,522078,10.1364/BOE.522078,PMC011xxxxxx/PMC11166418.xml,,,,,
,PMC11166419,522385,10.1364/BOE.522385,PMC011xxxxxx/PMC11166419.xml,,,,,
,PMC11166420,523051,10.1364/BOE.523051,PMC011xxxxxx/PMC11166420.xml,,,,,
,PMC11166421,505220,10.1364/BOE.505220,PMC011xxxxxx/PMC11166421.xml,,,,,
,PMC11166422,521521,10.1364/BOE.521521,PMC011xxxxxx/PMC11166422.xml,,,,,
,PMC11166423,523364,10.1364/BOE.523364,PMC011xxxxxx/PMC11166423.xml,,,,,
,PMC11166424,519258,10.1364/BOE.519258,PMC011xxxxxx/PMC11166424.xml,,,,,
,PMC11166425,523972,10.1364/BOE.523972,PMC011xxxxxx/PMC11166425.xml,,,,,
,PMC11166426,516764,10.1364/BOE.516764,PMC011xxxxxx/PMC11166426.xml,,,,,
,PMC11166427,523954,10.1364/BOE.523954,PMC011xxxxxx/PMC11166427.xml,,,,,
,PMC11166428,525524,10.1364/BOE.525524,PMC011xxxxxx/PMC11166428.xml,,,,,
,PMC11166429,524466,10.1364/BOE.524466,PMC011xxxxxx/PMC11166429.xml,,,,,
,PMC11166430,522238,10.1364/BOE.522238,PMC011xxxxxx/PMC11166430.xml,,,,,
,PMC11166431,524521,10.1364/BOE.524521,PMC011xxxxxx/PMC11166431.xml,,,,,
,PMC11166432,521612,10.1364/BOE.521612,PMC011xxxxxx/PMC11166432.xml,,,,,
,PMC11166433,522002,10.1364/BOE.522002,PMC011xxxxxx/PMC11166433.xml,,,,,
,PMC11166434,525630,10.1364/BOE.525630,PMC011xxxxxx/PMC11166434.xml,,,,,
