pmid,pmc,doi,manuscript,File,pii,publisher-id,coden,art-access-id,other,sici,publisher-manuscript
24790692,PMC4000470,10.1177/1941738113508373,,PMC004xxxxxx/PMC4000470.xml,,10.1177_1941738113508373,,,,,
24790690,PMC4000471,10.1177/1941738113508544,,PMC004xxxxxx/PMC4000471.xml,,10.1177_1941738113508544,,,,,
24790697,PMC4000472,10.1177/1941738113508917,,PMC004xxxxxx/PMC4000472.xml,,10.1177_1941738113508917,,,,,
24790693,PMC4000473,10.1177/1941738114521984,,PMC004xxxxxx/PMC4000473.xml,,10.1177_1941738114521984,,,,,
24790688,PMC4000474,10.1177/1941738114522412,,PMC004xxxxxx/PMC4000474.xml,,10.1177_1941738114522412,,,,,
24790689,PMC4000475,10.1177/1941738114524910,,PMC004xxxxxx/PMC4000475.xml,,10.1177_1941738114524910,,,,,
24790691,PMC4000476,10.1177/1941738114527056,,PMC004xxxxxx/PMC4000476.xml,,10.1177_1941738114527056,,,,,
24790694,PMC4000477,10.1177/1941738114528468,,PMC004xxxxxx/PMC4000477.xml,,10.1177_1941738114528468,,,,,
24790698,PMC4000478,10.1177/1941738114529701,,PMC004xxxxxx/PMC4000478.xml,,10.1177_1941738114529701,,,,,
,PMC4000479,10.1177/1941738114530666,,PMC004xxxxxx/PMC4000479.xml,,10.1177_1941738114530666,,,,,
24790687,PMC4000480,10.1177/1941738114530667,,PMC004xxxxxx/PMC4000480.xml,,10.1177_1941738114530667,,,,,
24632940,PMC4000527,10.1038/ncomms4479,NIHMS569385,PMC004xxxxxx/PMC4000527.xml,,,,,,,
24633226,PMC4000541,10.1038/ni.2849,NIHMS569703,PMC004xxxxxx/PMC4000541.xml,,,,,,,
24583979,PMC4000542,10.1038/ki.2013.389,NIHMS520543,PMC004xxxxxx/PMC4000542.xml,,,,,,,
24686783,PMC4000579,10.1038/nn.3688,NIHMS573157,PMC004xxxxxx/PMC4000579.xml,,,,,,,
24576195,PMC4000582,10.1021/np4009865,,PMC004xxxxxx/PMC4000582.xml,,,,,,,
23222490,PMC4000969,10.1038/modpathol.2012.187,NIHMS560155,PMC004xxxxxx/PMC4000969.xml,,,,,,,
24561998,PMC4000970,10.1038/nn.3660,NIHMS560847,PMC004xxxxxx/PMC4000970.xml,,,,,,,
24790799,PMC4001180,10.1212/01.CPJ.0000437937.63347.5a,,PMC004xxxxxx/PMC4001180.xml,,NEURCLINPRACT2013004408,,,,,
24623838,PMC4001185,10.1212/WNL.0000000000000312,,PMC004xxxxxx/PMC4001185.xml,,NEUROLOGY2013537704,,,,,
24634453,PMC4001188,10.1212/WNL.0000000000000317,,PMC004xxxxxx/PMC4001188.xml,,NEUROLOGY2013547620,,,,,
24647024,PMC4001189,10.1212/WNL.0000000000000315,,PMC004xxxxxx/PMC4001189.xml,,NEUROLOGY2013545384,,,,,
24599766,PMC4001290,10.1093/cid/ciu134,,PMC004xxxxxx/PMC4001290.xml,,ciu134,,,,,
24621951,PMC4001292,10.1093/cid/ciu148,,PMC004xxxxxx/PMC4001292.xml,,ciu148,,,,,
24791182,PMC4001439,10.1021/jp5008472,,PMC004xxxxxx/PMC4001439.xml,,,,,,,
,PMC4001440,10.1111/eva.12103,,PMC004xxxxxx/PMC4001440.xml,,,,,,,
24712764,PMC4001449,10.1021/jm401605c,,PMC004xxxxxx/PMC4001449.xml,,,,,,,
24812528,PMC4001628,10.4137/OED.S13991,,PMC004xxxxxx/PMC4001628.xml,,oed-6-2014-013,,,,,
23965679,PMC4001701,10.1038/nchem.1708,NIHMS550301,PMC004xxxxxx/PMC4001701.xml,,,,,,,
23839601,PMC4001726,10.1038/clpt.2013.119,NIHMS560347,PMC004xxxxxx/PMC4001726.xml,,,,,,,
24441473,PMC4001742,10.1038/nbt.2783,NIHMS546494,PMC004xxxxxx/PMC4001742.xml,,,,,,,
19620970,PMC4001799,10.1038/ncb1904,NIHMS115649,PMC004xxxxxx/PMC4001799.xml,,,,,,,
24445279,PMC4001802,10.1038/ncomms4065,NIHMS546493,PMC004xxxxxx/PMC4001802.xml,,,,,,,
23376951,PMC4001867,10.1038/nature11867,NIHMS429465,PMC004xxxxxx/PMC4001867.xml,,,,,,,
,PMC4001871,10.1002/phy2.212,,PMC004xxxxxx/PMC4001871.xml,,phy2212,,,,,
24892244,PMC4001995,,,PMC004xxxxxx/PMC4001995.xml,,S1657-95342013000400009,,,,,
23817070,PMC4002004,10.1038/nmeth.2529,NIHMS487711,PMC004xxxxxx/PMC4002004.xml,,,,,,,
24552495,PMC4002058,10.1021/tx4004769,,PMC004xxxxxx/PMC4002058.xml,,,,,,,
24641254,PMC4002059,10.1021/tx500034c,,PMC004xxxxxx/PMC4002059.xml,,,,,,,
24730975,PMC4002065,10.1021/cr400476k,,PMC004xxxxxx/PMC4002065.xml,,,,,,,
24684576,PMC4002066,10.1021/cr4004874,,PMC004xxxxxx/PMC4002066.xml,,,,,,,
24697269,PMC4002067,10.1021/jm4018064,,PMC004xxxxxx/PMC4002067.xml,,,,,,,
24571610,PMC4002122,10.1021/tx400408x,,PMC004xxxxxx/PMC4002122.xml,,,,,,,
24669888,PMC4002123,10.1021/jm500002k,,PMC004xxxxxx/PMC4002123.xml,,,,,,,
24712906,PMC4002124,10.1021/la403559t,,PMC004xxxxxx/PMC4002124.xml,,,,,,,
24694092,PMC4002125,10.1021/jm5000722,,PMC004xxxxxx/PMC4002125.xml,,,,,,,
24669953,PMC4002127,10.1021/jp412729r,,PMC004xxxxxx/PMC4002127.xml,,,,,,,
24517165,PMC4002128,10.1021/tx400430g,,PMC004xxxxxx/PMC4002128.xml,,,,,,,
24708493,PMC4002130,10.1021/jm500268j,,PMC004xxxxxx/PMC4002130.xml,,,,,,,
24564854,PMC4002132,10.1021/tx400256b,,PMC004xxxxxx/PMC4002132.xml,,,,,,,
24580634,PMC4002134,10.1021/cr400432d,,PMC004xxxxxx/PMC4002134.xml,,,,,,,
24521136,PMC4002135,10.1021/cr400461p,,PMC004xxxxxx/PMC4002135.xml,,,,,,,
24689497,PMC4002136,10.1021/jp500267y,,PMC004xxxxxx/PMC4002136.xml,,,,,,,
24476342,PMC4002137,10.1021/cr4004709,,PMC004xxxxxx/PMC4002137.xml,,,,,,,
24697623,PMC4002138,10.1021/ic5003572,,PMC004xxxxxx/PMC4002138.xml,,,,,,,
24758379,PMC4002152,10.1021/cr400479b,,PMC004xxxxxx/PMC4002152.xml,,,,,,,
24588245,PMC4002153,10.1021/np401051z,,PMC004xxxxxx/PMC4002153.xml,,,,,,,
,PMC4002226,10.1002/phy2.211,,PMC004xxxxxx/PMC4002226.xml,,PHY2211,,,,,
19343061,PMC4002275,10.1038/aps.2009.22,,PMC004xxxxxx/PMC4002275.xml,aps200922,,,,,,
23641967,PMC4002633,10.3109/17435390.2013.802387,,PMC004xxxxxx/PMC4002633.xml,,,,,,,
24444414,PMC4002634,10.3109/00365521.2013.878380,,PMC004xxxxxx/PMC4002634.xml,,,,,,,
24166505,PMC4002667,10.1038/onc.2013.439,NIHMS550253,PMC004xxxxxx/PMC4002667.xml,,,,,,,
24166501,PMC4002670,10.1038/onc.2013.444,NIHMS550260,PMC004xxxxxx/PMC4002670.xml,,,,,,,
24166496,PMC4002674,10.1038/onc.2013.447,EMS56076,PMC004xxxxxx/PMC4002674.xml,,,,,,,
21102483,PMC4002942,10.1038/aps.2010.154,,PMC004xxxxxx/PMC4002942.xml,aps2010154,,,,,,
24782917,PMC4003152,10.12659/AJCR.890357,,PMC004xxxxxx/PMC4003152.xml,,890357,,,,,
20473322,PMC4003230,10.1038/cmi.2010.25,,PMC004xxxxxx/PMC4003230.xml,cmi201025,,,,,,
24370373,PMC4003347,10.1016/j.exger.2013.12.007,,PMC004xxxxxx/PMC4003347.xml,,S0531-5565(13)00363-X,,,,,
24509444,PMC4003381,10.1038/cmi.2013.61,,PMC004xxxxxx/PMC4003381.xml,cmi201361,,,,,,
24727997,PMC4003415,10.1038/bcj.2014.21,,PMC004xxxxxx/PMC4003415.xml,bcj201421,,,,,,
24727998,PMC4003417,10.1038/bcj.2014.23,,PMC004xxxxxx/PMC4003417.xml,bcj201423,,,,,,
24509713,PMC4003507,10.1038/nature13047,NIHMS558862,PMC004xxxxxx/PMC4003507.xml,,,,,,,
24597776,PMC4003856,10.1021/np400943b,,PMC004xxxxxx/PMC4003856.xml,,,,,,,
24219404,PMC4003859,10.1080/15459624.2013.863131,,PMC004xxxxxx/PMC4003859.xml,,,,,,,
24153375,PMC4003896,10.1038/nchem.1765,NIHMS550323,PMC004xxxxxx/PMC4003896.xml,,,,,,,
24336151,PMC4004172,10.1038/nn.3614,NIHMS560018,PMC004xxxxxx/PMC4004172.xml,,,,,,,
24559115,PMC4004186,10.1021/ac500513t,,PMC004xxxxxx/PMC4004186.xml,,,,,,,
24654925,PMC4004187,10.1021/ac500657k,,PMC004xxxxxx/PMC4004187.xml,,,,,,,
24650222,PMC4004188,10.1021/ac5007766,,PMC004xxxxxx/PMC4004188.xml,,,,,,,
24650129,PMC4004189,10.1021/ac500567g,,PMC004xxxxxx/PMC4004189.xml,,,,,,,
24673652,PMC4004191,10.1021/ac500188j,,PMC004xxxxxx/PMC4004191.xml,,,,,,,
24678700,PMC4004192,10.1021/ac500640u,,PMC004xxxxxx/PMC4004192.xml,,,,,,,
24640936,PMC4004193,10.1021/ac500405x,,PMC004xxxxxx/PMC4004193.xml,,,,,,,
24605905,PMC4004194,10.1021/ac4040554,,PMC004xxxxxx/PMC4004194.xml,,,,,,,
24611620,PMC4004195,10.1021/ac404242q,,PMC004xxxxxx/PMC4004195.xml,,,,,,,
24684375,PMC4004197,10.1021/am500254e,,PMC004xxxxxx/PMC4004197.xml,,,,,,,
24410628,PMC4004198,10.1021/ja409598c,,PMC004xxxxxx/PMC4004198.xml,,,,,,,
24422534,PMC4004210,10.1021/ja410385c,,PMC004xxxxxx/PMC4004210.xml,,,,,,,
24669785,PMC4004211,10.1021/ja500996d,,PMC004xxxxxx/PMC4004211.xml,,,,,,,
24660829,PMC4004212,10.1021/ja411046j,,PMC004xxxxxx/PMC4004212.xml,,,,,,,
24641469,PMC4004214,10.1021/ja500634u,,PMC004xxxxxx/PMC4004214.xml,,,,,,,
24606062,PMC4004215,10.1021/ja501276r,,PMC004xxxxxx/PMC4004215.xml,,,,,,,
24697810,PMC4004216,10.1021/ja5013323,,PMC004xxxxxx/PMC4004216.xml,,,,,,,
24660845,PMC4004217,10.1021/bi4013808,,PMC004xxxxxx/PMC4004217.xml,,,,,,,
24660779,PMC4004218,10.1021/ci500069y,,PMC004xxxxxx/PMC4004218.xml,,,,,,,
24665863,PMC4004220,10.1021/bi500144h,,PMC004xxxxxx/PMC4004220.xml,,,,,,,
24694349,PMC4004221,10.1021/bi4017022,,PMC004xxxxxx/PMC4004221.xml,,,,,,,
24471779,PMC4004223,10.1021/ja410240c,,PMC004xxxxxx/PMC4004223.xml,,,,,,,
24660775,PMC4004224,10.1021/ja501253b,,PMC004xxxxxx/PMC4004224.xml,,,,,,,
24684440,PMC4004227,10.1021/bi401673b,,PMC004xxxxxx/PMC4004227.xml,,,,,,,
24670041,PMC4004228,10.1021/bi5002807,,PMC004xxxxxx/PMC4004228.xml,,,,,,,
24654570,PMC4004229,10.1021/bi500281a,,PMC004xxxxxx/PMC4004229.xml,,,,,,,
24579721,PMC4004230,10.1021/ja4121082,,PMC004xxxxxx/PMC4004230.xml,,,,,,,
24665882,PMC4004232,10.1021/jo500394u,,PMC004xxxxxx/PMC4004232.xml,,,,,,,
24660965,PMC4004233,10.1021/bi500158w,,PMC004xxxxxx/PMC4004233.xml,,,,,,,
24521460,PMC4004234,10.1021/cb500067z,,PMC004xxxxxx/PMC4004234.xml,,,,,,,
24717093,PMC4004235,10.1021/bi401606f,,PMC004xxxxxx/PMC4004235.xml,,,,,,,
24641574,PMC4004237,10.1021/ja500726e,,PMC004xxxxxx/PMC4004237.xml,,,,,,,
24432820,PMC4004238,10.1021/ja410542z,,PMC004xxxxxx/PMC4004238.xml,,,,,,,
24673529,PMC4004239,10.1021/bi500176e,,PMC004xxxxxx/PMC4004239.xml,,,,,,,
24694247,PMC4004240,10.1021/ja500172d,,PMC004xxxxxx/PMC4004240.xml,,,,,,,
24645849,PMC4004241,10.1021/ja500678v,,PMC004xxxxxx/PMC4004241.xml,,,,,,,
24678721,PMC4004242,10.1021/bi5002294,,PMC004xxxxxx/PMC4004242.xml,,,,,,,
24673361,PMC4004243,10.1021/ja412446y,,PMC004xxxxxx/PMC4004243.xml,,,,,,,
24669800,PMC4004244,10.1021/ja5017409,,PMC004xxxxxx/PMC4004244.xml,,,,,,,
24661269,PMC4004245,10.1021/ja407581w,,PMC004xxxxxx/PMC4004245.xml,,,,,,,
24712922,PMC4004246,10.1021/ja501621q,,PMC004xxxxxx/PMC4004246.xml,,,,,,,
24678878,PMC4004247,10.1021/ja501815p,,PMC004xxxxxx/PMC4004247.xml,,,,,,,
24597914,PMC4004248,10.1021/bi401671t,,PMC004xxxxxx/PMC4004248.xml,,,,,,,
24559475,PMC4004249,10.1021/ja407156m,,PMC004xxxxxx/PMC4004249.xml,,,,,,,
24456037,PMC4004251,10.1021/ja406126a,,PMC004xxxxxx/PMC4004251.xml,,,,,,,
24694294,PMC4004252,10.1021/ja412350f,,PMC004xxxxxx/PMC4004252.xml,,,,,,,
24673332,PMC4004253,10.1021/ja5015508,,PMC004xxxxxx/PMC4004253.xml,,,,,,,
24655288,PMC4004254,10.1021/bi5001855,,PMC004xxxxxx/PMC4004254.xml,,,,,,,
24660651,PMC4004256,10.1021/am5007707,,PMC004xxxxxx/PMC4004256.xml,,,,,,,
24444454,PMC4004257,10.1021/ja408138f,,PMC004xxxxxx/PMC4004257.xml,,,,,,,
24641705,PMC4004258,10.1021/bi500070q,,PMC004xxxxxx/PMC4004258.xml,,,,,,,
24669941,PMC4004260,10.1021/bi401692v,,PMC004xxxxxx/PMC4004260.xml,,,,,,,
24665947,PMC4004261,10.1021/ci500077v,,PMC004xxxxxx/PMC4004261.xml,,,,,,,
24401138,PMC4004262,10.1021/ja410438n,,PMC004xxxxxx/PMC4004262.xml,,,,,,,
24641765,PMC4004263,10.1021/bi500117c,,PMC004xxxxxx/PMC4004263.xml,,,,,,,
24673655,PMC4004264,10.1021/am405250g,,PMC004xxxxxx/PMC4004264.xml,,,,,,,
24527857,PMC4004265,10.1021/cb400896g,,PMC004xxxxxx/PMC4004265.xml,,,,,,,
24601535,PMC4004266,10.1021/bi5001118,,PMC004xxxxxx/PMC4004266.xml,,,,,,,
24410282,PMC4004268,10.1021/ja409250y,,PMC004xxxxxx/PMC4004268.xml,,,,,,,
24702123,PMC4004269,10.1021/ja5026276,,PMC004xxxxxx/PMC4004269.xml,,,,,,,
24456160,PMC4004270,10.1021/ja409214c,,PMC004xxxxxx/PMC4004270.xml,,,,,,,
24702705,PMC4004272,10.1021/ja501906x,,PMC004xxxxxx/PMC4004272.xml,,,,,,,
24689701,PMC4004273,10.1021/ja412471u,,PMC004xxxxxx/PMC4004273.xml,,,,,,,
24460383,PMC4004274,10.1021/ci400657c,,PMC004xxxxxx/PMC4004274.xml,,,,,,,
24512048,PMC4004275,10.1021/ja4100035,,PMC004xxxxxx/PMC4004275.xml,,,,,,,
24568373,PMC4004276,10.1021/bi500091p,,PMC004xxxxxx/PMC4004276.xml,,,,,,,
24625033,PMC4004278,10.1021/ja5011674,,PMC004xxxxxx/PMC4004278.xml,,,,,,,
24548260,PMC4004286,10.1021/nn406388t,,PMC004xxxxxx/PMC4004286.xml,,,,,,,
24484356,PMC4004287,10.1021/nn403973g,,PMC004xxxxxx/PMC4004287.xml,,,,,,,
24669862,PMC4004288,10.1021/nn500865d,,PMC004xxxxxx/PMC4004288.xml,,,,,,,
24506583,PMC4004290,10.1021/nn5002968,,PMC004xxxxxx/PMC4004290.xml,,,,,,,
24568576,PMC4004291,10.1021/nn406370u,,PMC004xxxxxx/PMC4004291.xml,,,,,,,
24499315,PMC4004292,10.1021/nn404872e,,PMC004xxxxxx/PMC4004292.xml,,,,,,,
24428340,PMC4004293,10.1021/nn406223e,,PMC004xxxxxx/PMC4004293.xml,,,,,,,
24654558,PMC4004294,10.1021/nn406615v,,PMC004xxxxxx/PMC4004294.xml,,,,,,,
24593185,PMC4004295,10.1021/nn405281s,,PMC004xxxxxx/PMC4004295.xml,,,,,,,
24444076,PMC4004310,10.1021/nn406363j,,PMC004xxxxxx/PMC4004310.xml,,,,,,,
24397797,PMC4004312,10.1021/nn405240g,,PMC004xxxxxx/PMC4004312.xml,,,,,,,
24673565,PMC4004313,10.1021/nn500704t,,PMC004xxxxxx/PMC4004313.xml,,,,,,,
24524295,PMC4004314,10.1021/nn4061385,,PMC004xxxxxx/PMC4004314.xml,,,,,,,
24597847,PMC4004315,10.1021/nn406302j,,PMC004xxxxxx/PMC4004315.xml,,,,,,,
24564881,PMC4004316,10.1021/nn405520d,,PMC004xxxxxx/PMC4004316.xml,,,,,,,
24476392,PMC4004317,10.1021/nn406252h,,PMC004xxxxxx/PMC4004317.xml,,,,,,,
24601556,PMC4004319,10.1021/nn5004277,,PMC004xxxxxx/PMC4004319.xml,,,,,,,
24580381,PMC4004320,10.1021/nn500216y,,PMC004xxxxxx/PMC4004320.xml,,,,,,,
24645754,PMC4004321,10.1021/nn500107g,,PMC004xxxxxx/PMC4004321.xml,,,,,,,
24646088,PMC4004322,10.1021/nn500810n,,PMC004xxxxxx/PMC4004322.xml,,,,,,,
24720462,PMC4004324,10.1021/nn4038223,,PMC004xxxxxx/PMC4004324.xml,,,,,,,
24547810,PMC4004326,10.1021/nn405663h,,PMC004xxxxxx/PMC4004326.xml,,,,,,,
24654890,PMC4004327,10.1021/nn406339n,,PMC004xxxxxx/PMC4004327.xml,,,,,,,
24547946,PMC4004329,10.1021/nn500100x,,PMC004xxxxxx/PMC4004329.xml,,,,,,,
24483239,PMC4004330,10.1021/nn500110a,,PMC004xxxxxx/PMC4004330.xml,,,,,,,
24552624,PMC4004332,10.1021/jp4123503,,PMC004xxxxxx/PMC4004332.xml,,,,,,,
24433319,PMC4004353,10.1111/jvim.12292,,PMC004xxxxxx/PMC4004353.xml,,JVIM12292,,,,,
24195963,PMC4004367,10.1038/gene.2013.59,NIHMS550441,PMC004xxxxxx/PMC4004367.xml,,,,,,,
24686847,PMC4004585,10.1038/ng.2933,EMS57307,PMC004xxxxxx/PMC4004585.xml,,,,,,,
,PMC4004602,,,PMC004xxxxxx/PMC4004602.xml,,E13-05-0261,,,,,
24702330,PMC4004622,10.1021/bc500061s,,PMC004xxxxxx/PMC4004622.xml,,,,,,,
24730692,PMC4004623,10.1021/ar400286b,,PMC004xxxxxx/PMC4004623.xml,,,,,,,
24791250,PMC4004632,10.2147/ITT.S32617,,PMC004xxxxxx/PMC4004632.xml,,itt-1-007,,,,,
24373352,PMC4004714,10.1016/j.jaci.2013.11.009,,PMC004xxxxxx/PMC4004714.xml,,S0091-6749(13)01767-3,,,,,
24166411,PMC4004725,10.1038/mp.2013.142,NIHMS523068,PMC004xxxxxx/PMC4004725.xml,,,,,,,
24311390,PMC4004726,10.1002/oby.20652,NIHMS533699,PMC004xxxxxx/PMC4004726.xml,,,,,,,
24790685,PMC4004791,10.12659/AJCR.890284,,PMC004xxxxxx/PMC4004791.xml,,890284,,,,,
24790686,PMC4004792,10.12659/AJCR.890364,,PMC004xxxxxx/PMC4004792.xml,,890364,,,,,
24705253,PMC4004933,10.1038/ng.2948,NIHMS575218,PMC004xxxxxx/PMC4004933.xml,,,,,,,
24131375,PMC4005371,10.1021/ol402638n,,PMC004xxxxxx/PMC4005371.xml,,,,,,,
24487321,PMC4005385,10.1038/ni.2823,NIHMS553063,PMC004xxxxxx/PMC4005385.xml,,,,,,,
24129553,PMC4005474,10.1038/pr.2013.179,NIHMS560245,PMC004xxxxxx/PMC4005474.xml,,,,,,,
24270545,PMC4005518,10.1038/nm.3393,NIHMS529579,PMC004xxxxxx/PMC4005518.xml,,,,,,,
24402051,PMC4005598,10.1038/pr.2013.210,NIHMS548719,PMC004xxxxxx/PMC4005598.xml,,,,,,,
,PMC4005654,10.1093/nar/gku066,,PMC004xxxxxx/PMC4005654.xml,,gku066,,,,,
24561808,PMC4005662,10.1093/nar/gku159,,PMC004xxxxxx/PMC4005662.xml,,gku159,,,,,
,PMC4005668,10.1093/nar/gku043,,PMC004xxxxxx/PMC4005668.xml,,gku043,,,,,
,PMC4005676,10.1093/nar/gku020,,PMC004xxxxxx/PMC4005676.xml,,gku020,,,,,
24574528,PMC4005681,10.1093/nar/gku143,,PMC004xxxxxx/PMC4005681.xml,,gku143,,,,,
24519901,PMC4005712,10.1002/pro.2442,,PMC004xxxxxx/PMC4005712.xml,,,,,,,
24097188,PMC4005788,10.1038/nm.3356,CAMS3993,PMC004xxxxxx/PMC4005788.xml,,,,,,,
24005720,PMC4005793,10.1038/ncomms3388,CAMS3943,PMC004xxxxxx/PMC4005793.xml,,,,,,,
24562309,PMC4005806,10.1038/ni.2830,NIHMS557442,PMC004xxxxxx/PMC4005806.xml,,,,,,,
24791181,PMC4005861,10.12659/PJR.889830,,PMC004xxxxxx/PMC4005861.xml,,889830,,,,,
24755666,PMC4005862,10.12659/MSM.890175,,PMC004xxxxxx/PMC4005862.xml,,890175,,,,,
24762661,PMC4005863,10.12659/MSM.890261,,PMC004xxxxxx/PMC4005863.xml,,890261,,,,,
24755685,PMC4005864,10.12659/MSM.890303,,PMC004xxxxxx/PMC4005864.xml,,890303,,,,,
24759432,PMC4005865,10.12659/MSM.890863,,PMC004xxxxxx/PMC4005865.xml,,890863,,,,,
24759493,PMC4005866,10.12659/MSM.890197,,PMC004xxxxxx/PMC4005866.xml,,890197,,,,,
24795684,PMC4006034,10.3389/fpsyg.2014.00351,,PMC004xxxxxx/PMC4006034.xml,,,,,,,
24627297,PMC4006086,10.1192/bjp.bp.113.134452,,PMC004xxxxxx/PMC4006086.xml,,,,,,,
24717428,PMC4006097,10.1038/nature13242,NIHMS574495,PMC004xxxxxx/PMC4006097.xml,,,,,,,
,PMC4006134,10.1017/mdh.2014.22,,PMC004xxxxxx/PMC4006134.xml,S0025727314000222,00022,,,,,
24775433,PMC4006135,10.1017/mdh.2014.23,,PMC004xxxxxx/PMC4006135.xml,S0025727314000234,00023,,,,,
,PMC4006136,10.1017/mdh.2014.20,,PMC004xxxxxx/PMC4006136.xml,S0025727314000209,00020,,,,,
,PMC4006138,10.1017/mdh.2014.21,,PMC004xxxxxx/PMC4006138.xml,S0025727314000210,00021,,,,,
24775438,PMC4006139,10.1017/mdh.2014.15,,PMC004xxxxxx/PMC4006139.xml,S0025727314000155,00015,,,,,
24775431,PMC4006140,10.1017/mdh.2014.7,,PMC004xxxxxx/PMC4006140.xml,S0025727314000076,00007,,,,,
24775427,PMC4006141,10.1017/mdh.2014.1,,PMC004xxxxxx/PMC4006141.xml,S0025727314000015,00001,,,,,
,PMC4006142,10.1017/mdh.2014.11,,PMC004xxxxxx/PMC4006142.xml,S0025727314000118,00011,,,,,
24775429,PMC4006143,10.1017/mdh.2014.10,,PMC004xxxxxx/PMC4006143.xml,S0025727314000106,00010,,,,,
24775440,PMC4006144,10.1017/mdh.2014.17,,PMC004xxxxxx/PMC4006144.xml,S0025727314000179,00017,,,,,
24775432,PMC4006146,10.1017/mdh.2014.8,,PMC004xxxxxx/PMC4006146.xml,S0025727314000088,00008,,,,,
,PMC4006147,10.1017/mdh.2014.18,,PMC004xxxxxx/PMC4006147.xml,S0025727314000180,00018,,,,,
24775428,PMC4006148,10.1017/mdh.2014.9,,PMC004xxxxxx/PMC4006148.xml,S002572731400009X,00009,,,,,
24775430,PMC4006149,10.1017/mdh.2014.6,,PMC004xxxxxx/PMC4006149.xml,S0025727314000064,00006,,,,,
24775439,PMC4006151,10.1017/mdh.2014.16,,PMC004xxxxxx/PMC4006151.xml,S0025727314000167,00016,,,,,
15380968,PMC4006198,10.1016/S0140-6736(04)17064-5,,PMC004xxxxxx/PMC4006198.xml,S0140-6736(04)17064-5,,,,,,
24795509,PMC4006202,,,PMC004xxxxxx/PMC4006202.xml,,jEJHS.v24.i2.pg100,,,,,
24795510,PMC4006203,,,PMC004xxxxxx/PMC4006203.xml,,jEJHS.v24.i2.pg101,,,,,
24795511,PMC4006204,,,PMC004xxxxxx/PMC4006204.xml,,jEJHS.v24.i2.pg109,,,,,
24795512,PMC4006205,,,PMC004xxxxxx/PMC4006205.xml,,jEJHS.v24.i2.pg117,,,,,
24795514,PMC4006207,,,PMC004xxxxxx/PMC4006207.xml,,jEJHS.v24.i2.pg131,,,,,
24795515,PMC4006208,,,PMC004xxxxxx/PMC4006208.xml,,jEJHS.v24.i2.pg139,,,,,
24795516,PMC4006209,,,PMC004xxxxxx/PMC4006209.xml,,jEJHS.v24.i2.pg145,,,,,
24795517,PMC4006210,,,PMC004xxxxxx/PMC4006210.xml,,jEJHS.v24.i2.pg153,,,,,
24795518,PMC4006211,,,PMC004xxxxxx/PMC4006211.xml,,jEJHS.v24.i2.pg161,,,,,
24795519,PMC4006212,,,PMC004xxxxxx/PMC4006212.xml,,jEJHS.v24.i2.pg171,,,,,
24795520,PMC4006213,,,PMC004xxxxxx/PMC4006213.xml,,jEJHS.v24.i2.pg175,,,,,
24795521,PMC4006214,,,PMC004xxxxxx/PMC4006214.xml,,jEJHS.v24.i2.pg179,,,,,
24795522,PMC4006215,,,PMC004xxxxxx/PMC4006215.xml,,jEJHS.v24.i2.pg183,,,,,
