pmid,pmc,publisher-id,doi,File,art-access-id,medline
40080393,PMC12097457,240510,10.2337/db24-0510,PMC012xxxxxx/PMC12097457.xml,,
40095004,PMC12097458,240958,10.2337/db24-0958,PMC012xxxxxx/PMC12097458.xml,,
40019860,PMC12097462,240403,10.2337/db24-0403,PMC012xxxxxx/PMC12097462.xml,,
40233256,PMC12097531,EHP15105,10.1289/EHP15105,PMC012xxxxxx/PMC12097531.xml,,
40168621,PMC12097532,EHP15566,10.1289/EHP15566,PMC012xxxxxx/PMC12097532.xml,,
40117576,PMC12097533,EHP15117,10.1289/EHP15117,PMC012xxxxxx/PMC12097533.xml,,
40193182,PMC12097534,EHP14014,10.1289/EHP14014,PMC012xxxxxx/PMC12097534.xml,,
40233199,PMC12097535,EHP15039,10.1289/EHP15039,PMC012xxxxxx/PMC12097535.xml,,
40239124,PMC12101570,EHP15824,10.1289/EHP15824,PMC012xxxxxx/PMC12101570.xml,,
40305004,PMC12101571,EHP15209,10.1289/EHP15209,PMC012xxxxxx/PMC12101571.xml,,
40245380,PMC12101572,EHP15170,10.1289/EHP15170,PMC012xxxxxx/PMC12101572.xml,,
40266912,PMC12101573,EHP14984,10.1289/EHP14984,PMC012xxxxxx/PMC12101573.xml,,
40233281,PMC12110909,EHP14801,10.1289/EHP14801,PMC012xxxxxx/PMC12110909.xml,,
40273424,PMC12110910,EHP15660,10.1289/EHP15660,PMC012xxxxxx/PMC12110910.xml,,
40300153,PMC12110914,EHP15095,10.1289/EHP15095,PMC012xxxxxx/PMC12110914.xml,,
40261974,PMC12110917,EHP15457,10.1289/EHP15457,PMC012xxxxxx/PMC12110917.xml,,
40207990,PMC12118356,EHP15648,10.1289/EHP15648,PMC012xxxxxx/PMC12118356.xml,,
40305737,PMC12120841,EHP16272,10.1289/EHP16272,PMC012xxxxxx/PMC12120841.xml,,
40194260,PMC12120842,EHP14876,10.1289/EHP14876,PMC012xxxxxx/PMC12120842.xml,,
40279270,PMC12121719,EHP17203,10.1289/EHP17203,PMC012xxxxxx/PMC12121719.xml,,
40163801,PMC12121720,EHP14677,10.1289/EHP14677,PMC012xxxxxx/PMC12121720.xml,,
40305654,PMC12121721,EHP15006,10.1289/EHP15006,PMC012xxxxxx/PMC12121721.xml,,
40209106,PMC12121722,EHP14849,10.1289/EHP14849,PMC012xxxxxx/PMC12121722.xml,,
,PMC12128866,,10.1101/gad.352856.125,PMC012xxxxxx/PMC12128866.xml,,8711660
40456593,PMC12128867,,10.1101/gad.352836.125,PMC012xxxxxx/PMC12128867.xml,,8711660
40257857,PMC12129303,EHP15852,10.1289/EHP15852,PMC012xxxxxx/PMC12129303.xml,,
40267339,PMC12129304,EHP15564,10.1289/EHP15564,PMC012xxxxxx/PMC12129304.xml,,
40168471,PMC12129305,EHP14793,10.1289/EHP14793,PMC012xxxxxx/PMC12129305.xml,,
40262115,PMC12142652,EHP16569,10.1289/EHP16569,PMC012xxxxxx/PMC12142652.xml,,
40354572,PMC12142655,EHP15500,10.1289/EHP15500,PMC012xxxxxx/PMC12142655.xml,,
40326889,PMC12143488,EHP15942,10.1289/EHP15942,PMC012xxxxxx/PMC12143488.xml,,
40249596,PMC12143489,EHP15539,10.1289/EHP15539,PMC012xxxxxx/PMC12143489.xml,,
40310753,PMC12151321,EHP15238,10.1289/EHP15238,PMC012xxxxxx/PMC12151321.xml,,
40237568,PMC12156197,EHP14458,10.1289/EHP14458,PMC012xxxxxx/PMC12156197.xml,,
40324008,PMC12156208,EHP15672,10.1289/EHP15672,PMC012xxxxxx/PMC12156208.xml,,
40298417,PMC12160461,mra.00275-25,10.1128/mra.00275-25,PMC012xxxxxx/PMC12160461.xml,,
40293276,PMC12160518,mra.01281-24,10.1128/mra.01281-24,PMC012xxxxxx/PMC12160518.xml,,
40324144,PMC12161453,EHP15573,10.1289/EHP15573,PMC012xxxxxx/PMC12161453.xml,,
40314697,PMC12161454,EHP15673,10.1289/EHP15673,PMC012xxxxxx/PMC12161454.xml,,
40293296,PMC12161457,EHP15012,10.1289/EHP15012,PMC012xxxxxx/PMC12161457.xml,,
40366647,PMC12165737,EHP16024,10.1289/EHP16024,PMC012xxxxxx/PMC12165737.xml,,
40359307,PMC12165738,EHP15010,10.1289/EHP15010,PMC012xxxxxx/PMC12165738.xml,,
40359302,PMC12165739,EHP15574,10.1289/EHP15574,PMC012xxxxxx/PMC12165739.xml,,
,PMC12168589,SMSC12733,10.1002/smsc.202500197,PMC012xxxxxx/PMC12168589.xml,,
40333434,PMC12169509,EHP15827,10.1289/EHP15827,PMC012xxxxxx/PMC12169509.xml,,
40315424,PMC12169510,EHP15503,10.1289/EHP15503,PMC012xxxxxx/PMC12169510.xml,,
,PMC12170188,RA,10.1261/rna.080521.125,PMC012xxxxxx/PMC12170188.xml,,9509184
,PMC12173161,EHP17959,10.1289/EHP17959,PMC012xxxxxx/PMC12173161.xml,,
40372422,PMC12176095,EHP15534,10.1289/EHP15534,PMC012xxxxxx/PMC12176095.xml,,
40338266,PMC12176096,EHP15034,10.1289/EHP15034,PMC012xxxxxx/PMC12176096.xml,,
40334213,PMC12176097,EHP15422,10.1289/EHP15422,PMC012xxxxxx/PMC12176097.xml,,
40392783,PMC12178341,EHP15305,10.1289/EHP15305,PMC012xxxxxx/PMC12178341.xml,,
,PMC12178608,250566,10.2337/dc25-0566,PMC012xxxxxx/PMC12178608.xml,,
40272268,PMC12178609,i250033,10.2337/dci25-0033,PMC012xxxxxx/PMC12178609.xml,,
40272276,PMC12178610,i250044,10.2337/dci25-0044,PMC012xxxxxx/PMC12178610.xml,,
40198142,PMC12178612,250129,10.2337/dc25-0129,PMC012xxxxxx/PMC12178612.xml,,
39965054,PMC12178616,241902,10.2337/dc24-1902,PMC012xxxxxx/PMC12178616.xml,,
40272284,PMC12178618,242908,10.2337/dc24-2908,PMC012xxxxxx/PMC12178618.xml,,
40272271,PMC12178619,242885,10.2337/dc24-2885,PMC012xxxxxx/PMC12178619.xml,,
39565893,PMC12178621,241110,10.2337/dc24-1110,PMC012xxxxxx/PMC12178621.xml,,
40272279,PMC12178622,250014,10.2337/dc25-0014,PMC012xxxxxx/PMC12178622.xml,,
40272272,PMC12178623,242886,10.2337/dc24-2886,PMC012xxxxxx/PMC12178623.xml,,
40272281,PMC12178624,250001,10.2337/dc25-0001,PMC012xxxxxx/PMC12178624.xml,,
40445117,PMC12178626,250300,10.2337/dc25-0300,PMC012xxxxxx/PMC12178626.xml,,
40344599,PMC12180445,EHP15418,10.1289/EHP15418,PMC012xxxxxx/PMC12180445.xml,,
40344151,PMC12184414,EHP15059,10.1289/EHP15059,PMC012xxxxxx/PMC12184414.xml,,
40272256,PMC12185955,250039,10.2337/db25-0039,PMC012xxxxxx/PMC12185955.xml,,
40272260,PMC12185957,i250019,10.2337/dbi25-0019,PMC012xxxxxx/PMC12185957.xml,,
40272266,PMC12185959,250037,10.2337/db25-0037,PMC012xxxxxx/PMC12185959.xml,,
40173211,PMC12185960,241000,10.2337/db24-1000,PMC012xxxxxx/PMC12185960.xml,,
40272280,PMC12185961,i250023,10.2337/dbi25-0023,PMC012xxxxxx/PMC12185961.xml,,
40197830,PMC12185965,i240041,10.2337/dbi24-0041,PMC012xxxxxx/PMC12185965.xml,,
40272257,PMC12185966,250042,10.2337/db25-0042,PMC012xxxxxx/PMC12185966.xml,,
40272263,PMC12185967,250097,10.2337/db25-0097,PMC012xxxxxx/PMC12185967.xml,,
40272846,PMC12185968,241103,10.2337/db24-1103,PMC012xxxxxx/PMC12185968.xml,,
40063503,PMC12185969,240762,10.2337/db24-0762,PMC012xxxxxx/PMC12185969.xml,,
40202504,PMC12185971,240720,10.2337/db24-0720,PMC012xxxxxx/PMC12185971.xml,,
40272262,PMC12185973,250017,10.2337/db25-0017,PMC012xxxxxx/PMC12185973.xml,,
,PMC12187078,EHP17963,10.1289/EHP17963,PMC012xxxxxx/PMC12187078.xml,,
