pmid,pmc,doi,File,publisher-id,manuscript,pii,art-access-id,coden,publisher-manuscript,medline,other,pmc-scan
29244802,PMC6003823,10.1038/pr.2017.313,PMC006xxxxxx/PMC6003823.xml,,NIHMS923972,,,,,,,
29268982,PMC6003825,10.1016/j.tim.2017.11.011,PMC006xxxxxx/PMC6003825.xml,,,S0966-842X(17)30260-3,,,,,,
29551766,PMC6003839,10.1038/s41388-018-0174-7,PMC006xxxxxx/PMC6003839.xml,,NIHMS936760,,,,,,,
29696305,PMC6003965,10.1007/s00127-018-1513-2,PMC006xxxxxx/PMC6003965.xml,1513,,,,,,,,
29695868,PMC6004266,10.1038/s41586-018-0061-y,PMC006xxxxxx/PMC6004266.xml,,NIHMS953209,,,,,,,
29517768,PMC6004311,10.1038/gim.2017.251,PMC006xxxxxx/PMC6004311.xml,,EMS75324,,,,,,,
29520038,PMC6004313,10.1038/s41380-018-0037-1,PMC006xxxxxx/PMC6004313.xml,,EMS75568,,,,,,,
29543232,PMC6004315,10.1038/gim.2018.27,PMC006xxxxxx/PMC6004315.xml,,EMS76135,,,,,,,
29930743,PMC6004561,10.1021/acs.jpcc.8b01876,PMC006xxxxxx/PMC6004561.xml,,,,,,,,,
29767973,PMC6004562,10.1021/acs.jmedchem.8b00270,PMC006xxxxxx/PMC6004562.xml,,,,,,,,,
29937975,PMC6004563,10.1021/acsmedchemlett.8b00126,PMC006xxxxxx/PMC6004563.xml,,,,,,,,,
29937980,PMC6004564,10.1021/acsmedchemlett.8b00081,PMC006xxxxxx/PMC6004564.xml,,,,,,,,,
29937983,PMC6004566,10.1021/acsmedchemlett.8b00191,PMC006xxxxxx/PMC6004566.xml,,,,,,,,,
28804122,PMC6005183,10.1038/leu.2017.250,PMC006xxxxxx/PMC6005183.xml,,NIHMS894062,,,,,,,
,PMC6005611,10.1111/irv.12478,PMC006xxxxxx/PMC6005611.xml,IRV12478,,,,,,,,
29763546,PMC6005643,10.1021/acs.jpclett.8b00953,PMC006xxxxxx/PMC6005643.xml,,,,,,,,,
32082000,PMC6005710,10.1038/s41375-018-0038-8,PMC006xxxxxx/PMC6005710.xml,,NIHMS922778,,,,,,,
29733186,PMC6006443,10.1021/acschembio.8b00155,PMC006xxxxxx/PMC6006443.xml,,,,,,,,,
29746086,PMC6006448,10.1021/acschembio.8b00038,PMC006xxxxxx/PMC6006448.xml,,,,,,,,,
29792329,PMC6006449,10.1021/acs.joc.8b00988,PMC006xxxxxx/PMC6006449.xml,,,,,,,,,
29928227,PMC6006636,10.1159/000488847,PMC006xxxxxx/PMC6006636.xml,cop-0009-0304,,,,,,,,
29928219,PMC6006639,10.1159/000486891,PMC006xxxxxx/PMC6006639.xml,crn-0010-0130,,,,,,,,
29255264,PMC6007000,10.1038/s41588-017-0015-6,PMC006xxxxxx/PMC6007000.xml,,NIHMS922307,,,,,,,
29556108,PMC6007031,10.1038/s41564-018-0125-7,PMC006xxxxxx/PMC6007031.xml,,NIHMS941563,,,,,,,
29787234,PMC6007232,10.1021/acschembio.8b00276,PMC006xxxxxx/PMC6007232.xml,,,,,,,,,
29901739,PMC6007238,10.1093/jisesa/iey053,PMC006xxxxxx/PMC6007238.xml,iey053,,,,,,,,
29942505,PMC6007261,10.1093/ckj/sfx110,PMC006xxxxxx/PMC6007261.xml,sfx110,,,,,,,,
29889267,PMC6007282,10.1093/jisesa/iey054,PMC006xxxxxx/PMC6007282.xml,iey054,,,,,,,,
29873755,PMC6007308,10.1093/jisesa/iey043,PMC006xxxxxx/PMC6007308.xml,iey043,,,,,,,,
29878232,PMC6007374,10.1093/jisesa/iey052,PMC006xxxxxx/PMC6007374.xml,iey052,,,,,,,,
29432620,PMC6007393,10.1093/ijnp/pyy008,PMC006xxxxxx/PMC6007393.xml,pyy008,,,,,,,,
29718457,PMC6007404,10.1093/nar/gky292,PMC006xxxxxx/PMC6007404.xml,gky292,,,,,,,,
29868780,PMC6007429,10.1093/jisesa/iey049,PMC006xxxxxx/PMC6007429.xml,iey049,,,,,,,,
,PMC6007432,10.1093/ckj/sfy040,PMC006xxxxxx/PMC6007432.xml,sfy040,,,,,,,,
29905878,PMC6007449,10.1093/jisesa/iey050,PMC006xxxxxx/PMC6007449.xml,iey050,,,,,,,,
29850851,PMC6007453,10.1093/jisesa/iey048,PMC006xxxxxx/PMC6007453.xml,iey048,,,,,,,,
29850852,PMC6007485,10.1093/jisesa/iey047,PMC006xxxxxx/PMC6007485.xml,iey047,,,,,,,,
29496677,PMC6007772,10.1187/cbe.17-06-0106-corr,PMC006xxxxxx/PMC6007772.xml,CBE.17-06-0106-corr,,,,,,,,
29342138,PMC6007875,10.1038/nature25451,PMC006xxxxxx/PMC6007875.xml,,NIHMS927628,,,,,,,
29741904,PMC6007961,10.1021/acs.orglett.8b01252,PMC006xxxxxx/PMC6007961.xml,,,,,,,,,
29365252,PMC6007962,10.1021/acsnano.7b07911,PMC006xxxxxx/PMC6007962.xml,,,,,,,,,
29630818,PMC6007963,10.1021/acs.jmedchem.8b00138,PMC006xxxxxx/PMC6007963.xml,,,,,,,,,
29485857,PMC6007964,10.1021/acs.biochem.7b01299,PMC006xxxxxx/PMC6007964.xml,,,,,,,,,
29928154,PMC6007999,10.6001/actamedica.v25i1.3700,PMC006xxxxxx/PMC6007999.xml,,,,,,,,,
29928157,PMC6008000,10.6001/actamedica.v25i1.3703,PMC006xxxxxx/PMC6008000.xml,,,,,,,,,
29928151,PMC6008001,10.6001/actamedica.v25i1.3697,PMC006xxxxxx/PMC6008001.xml,,,,,,,,,
29928156,PMC6008002,10.6001/actamedica.v25i1.3702,PMC006xxxxxx/PMC6008002.xml,,,,,,,,,
29928152,PMC6008003,10.6001/actamedica.v25i1.3698,PMC006xxxxxx/PMC6008003.xml,,,,,,,,,
29928155,PMC6008004,10.6001/actamedica.v25i1.3701,PMC006xxxxxx/PMC6008004.xml,,,,,,,,,
29928153,PMC6008005,10.6001/actamedica.v25i1.3699,PMC006xxxxxx/PMC6008005.xml,,,,,,,,,
29255216,PMC6008165,10.1038/s41417-017-0004-z,PMC006xxxxxx/PMC6008165.xml,,NIHMS902013,,,,,,,
29867143,PMC6008203,10.1038/s41589-018-0061-0,PMC006xxxxxx/PMC6008203.xml,,NIHMS952907,,,,,,,
29867144,PMC6008210,10.1038/s41589-018-0062-z,PMC006xxxxxx/PMC6008210.xml,,NIHMS952903,,,,,,,
29164532,PMC6008341,10.1007/s40520-017-0854-0,PMC006xxxxxx/PMC6008341.xml,854,,,,,,,,
29676894,PMC6008730,10.1021/acssynbio.7b00442,PMC006xxxxxx/PMC6008730.xml,,,,,,,,,
29775289,PMC6008731,10.1021/acs.chemrestox.8b00083,PMC006xxxxxx/PMC6008731.xml,,,,,,,,,
29733646,PMC6008732,10.1021/acssynbio.7b00302,PMC006xxxxxx/PMC6008732.xml,,,,,,,,,
29575898,PMC6008734,10.1021/acs.inorgchem.8b00271,PMC006xxxxxx/PMC6008734.xml,,,,,,,,,
29727173,PMC6008735,10.1021/acs.chemrestox.7b00342,PMC006xxxxxx/PMC6008735.xml,,,,,,,,,
29775302,PMC6008736,10.1021/acs.chemrestox.8b00097,PMC006xxxxxx/PMC6008736.xml,,,,,,,,,
29937919,PMC6008793,10.1038/s41561-018-0160-2,PMC006xxxxxx/PMC6008793.xml,,NASAPA969305,,,,,,,
29938250,PMC6008882,10.1159/000486347,PMC006xxxxxx/PMC6008882.xml,dib-0002-0011,,,,,,,,
29946568,PMC6009100,10.1128/mSystems.00189-17,PMC006xxxxxx/PMC6009100.xml,mSystems00189-17,,,,,,,,
29566184,PMC6009590,10.1093/infdis/jiy152,PMC006xxxxxx/PMC6009590.xml,jiy152,,,,,,,,
29648668,PMC6009594,10.1093/nar/gky260,PMC006xxxxxx/PMC6009594.xml,gky260,,,,,,,,
29771376,PMC6009650,10.1093/nar/gky393,PMC006xxxxxx/PMC6009650.xml,gky393,,,,,,,,
29750271,PMC6009672,10.1093/nar/gky326,PMC006xxxxxx/PMC6009672.xml,gky326,,,,,,,,
28628127,PMC6009829,10.1038/nmeth.4340,PMC006xxxxxx/PMC6009829.xml,BFnmeth4340,,,,,,,,
29695848,PMC6009832,10.1038/s41586-018-0042-1,PMC006xxxxxx/PMC6009832.xml,,NIHMS948749,,,,,,,
29630062,PMC6009849,10.1038/nmeth.4661,PMC006xxxxxx/PMC6009849.xml,,NIHMS951437,,,,,,,
27766903,PMC6009854,10.1080/14756366.2016.1238365,PMC006xxxxxx/PMC6009854.xml,1238365,,,,,,,,
28150511,PMC6009860,10.1080/14756366.2016.1250756,PMC006xxxxxx/PMC6009860.xml,1250756,,,,,,,,
27766901,PMC6009865,10.1080/14756366.2016.1225045,PMC006xxxxxx/PMC6009865.xml,1225045,,,,,,,,
28111996,PMC6009866,10.1080/14756366.2016.1250752,PMC006xxxxxx/PMC6009866.xml,1250752,,,,,,,,
28260401,PMC6009867,10.1080/14756366.2016.1254207,PMC006xxxxxx/PMC6009867.xml,1254207,,,,,,,,
28100082,PMC6009868,10.1080/14756366.2016.1238367,PMC006xxxxxx/PMC6009868.xml,1238367,,,,,,,,
28097900,PMC6009875,10.1080/14756366.2016.1252758,PMC006xxxxxx/PMC6009875.xml,1252758,,,,,,,,
28114832,PMC6009877,10.1080/14756366.2016.1247057,PMC006xxxxxx/PMC6009877.xml,1247057,,,,,,,,
27784170,PMC6009879,10.1080/14756366.2016.1235040,PMC006xxxxxx/PMC6009879.xml,1235040,,,,,,,,
28095717,PMC6009880,10.1080/14756366.2016.1243535,PMC006xxxxxx/PMC6009880.xml,1243535,,,,,,,,
28133981,PMC6009885,10.1080/14756366.2016.1210139,PMC006xxxxxx/PMC6009885.xml,1210139,,,,,,,,
28097912,PMC6009886,10.1080/14756366.2016.1252757,PMC006xxxxxx/PMC6009886.xml,1252757,,,,,,,,
28114831,PMC6009895,10.1080/14756366.2016.1247055,PMC006xxxxxx/PMC6009895.xml,1247055,,,,,,,,
28095711,PMC6009900,10.1080/14756366.2016.1252760,PMC006xxxxxx/PMC6009900.xml,1252760,,,,,,,,
28097897,PMC6009904,10.1080/14756366.2016.1235043,PMC006xxxxxx/PMC6009904.xml,1235043,,,,,,,,
28097896,PMC6009906,10.1080/14756366.2016.1247059,PMC006xxxxxx/PMC6009906.xml,1247059,,,,,,,,
28114829,PMC6009907,10.1080/14756366.2016.1247056,PMC006xxxxxx/PMC6009907.xml,1247056,,,,,,,,
27801600,PMC6009910,10.1080/14756366.2016.1243534,PMC006xxxxxx/PMC6009910.xml,1243534,,,,,,,,
28114819,PMC6009913,10.1080/14756366.2016.1265520,PMC006xxxxxx/PMC6009913.xml,1265520,,,,,,,,
27771966,PMC6009925,10.1080/14756366.2016.1244532,PMC006xxxxxx/PMC6009925.xml,1244532,,,,,,,,
27766889,PMC6009926,10.1080/14756366.2016.1235569,PMC006xxxxxx/PMC6009926.xml,1235569,,,,,,,,
28097905,PMC6009933,10.1080/14756366.2016.1247062,PMC006xxxxxx/PMC6009933.xml,1247062,,,,,,,,
27766891,PMC6009934,10.1080/14756366.2016.1238363,PMC006xxxxxx/PMC6009934.xml,1238363,,,,,,,,
27766908,PMC6009942,10.1080/14756366.2016.1226298,PMC006xxxxxx/PMC6009942.xml,1226298,,,,,,,,
28097890,PMC6009961,10.1080/14756366.2016.1247054,PMC006xxxxxx/PMC6009961.xml,1247054,,,,,,,,
27774817,PMC6009964,10.1080/14756366.2016.1243536,PMC006xxxxxx/PMC6009964.xml,1243536,,,,,,,,
28100079,PMC6009966,10.1080/14756366.2016.1247058,PMC006xxxxxx/PMC6009966.xml,1247058,,,,,,,,
28097874,PMC6009968,10.1080/14756366.2016.1247061,PMC006xxxxxx/PMC6009968.xml,1247061,,,,,,,,
28114825,PMC6009979,10.1080/14756366.2016.1247060,PMC006xxxxxx/PMC6009979.xml,1247060,,,,,,,,
27766892,PMC6010014,10.1080/14756366.2016.1238366,PMC006xxxxxx/PMC6010014.xml,1238366,,,,,,,,
27766897,PMC6010023,10.1080/14756366.2016.1230109,PMC006xxxxxx/PMC6010023.xml,1230109,,,,,,,,
28097907,PMC6010034,10.1080/14756366.2016.1252759,PMC006xxxxxx/PMC6010034.xml,1252759,,,,,,,,
27778516,PMC6010052,10.1080/14756366.2016.1235568,PMC006xxxxxx/PMC6010052.xml,1235568,,,,,,,,
27774818,PMC6010057,10.1080/14756366.2016.1244533,PMC006xxxxxx/PMC6010057.xml,1244533,,,,,,,,
27798977,PMC6010081,10.1080/14756366.2016.1232254,PMC006xxxxxx/PMC6010081.xml,1232254,,,,,,,,
28100083,PMC6010093,10.1080/14756366.2016.1250754,PMC006xxxxxx/PMC6010093.xml,1250754,,,,,,,,
27766895,PMC6010095,10.1080/14756366.2016.1225046,PMC006xxxxxx/PMC6010095.xml,1225046,,,,,,,,
27774816,PMC6010111,10.1080/14756366.2016.1238364,PMC006xxxxxx/PMC6010111.xml,1238364,,,,,,,,
28097901,PMC6010116,10.1080/14756366.2016.1256882,PMC006xxxxxx/PMC6010116.xml,1256882,,,,,,,,
27775452,PMC6010117,10.1080/14756366.2016.1235042,PMC006xxxxxx/PMC6010117.xml,1235042,,,,,,,,
28118755,PMC6010120,10.1080/14756366.2016.1256884,PMC006xxxxxx/PMC6010120.xml,1256884,,,,,,,,
28260399,PMC6010122,10.1080/14756366.2016.1250757,PMC006xxxxxx/PMC6010122.xml,1250757,,,,,,,,
27778522,PMC6010123,10.1080/14756366.2016.1238362,PMC006xxxxxx/PMC6010123.xml,1238362,,,,,,,,
28098499,PMC6010130,10.1080/14756366.2016.1250755,PMC006xxxxxx/PMC6010130.xml,1250755,,,,,,,,
27774819,PMC6010134,10.1080/14756366.2016.1235041,PMC006xxxxxx/PMC6010134.xml,1235041,,,,,,,,
28097911,PMC6010140,10.1080/14756366.2016.1250753,PMC006xxxxxx/PMC6010140.xml,1250753,,,,,,,,
29938248,PMC6010303,10.1021/acsomega.6b00085,PMC006xxxxxx/PMC6010303.xml,,,,,,,,,
,PMC6010707,10.1111/jcmm.13385,PMC006xxxxxx/PMC6010707.xml,JCMM13385,,,,,,,,
,PMC6010804,10.1002/ece3.3370,PMC006xxxxxx/PMC6010804.xml,ECE33370,,,,,,,,
,PMC6010877,10.1002/cam4.1194,PMC006xxxxxx/PMC6010877.xml,CAM41194,,,,,,,,
29792680,PMC6011177,10.1021/acs.analchem.8b00650,PMC006xxxxxx/PMC6011177.xml,,,,,,,,,
29808992,PMC6011178,10.1021/acs.analchem.8b01719,PMC006xxxxxx/PMC6011178.xml,,,,,,,,,
29781600,PMC6011179,10.1021/acs.analchem.8b00916,PMC006xxxxxx/PMC6011179.xml,,,,,,,,,
29781599,PMC6011180,10.1021/acs.analchem.8b01351,PMC006xxxxxx/PMC6011180.xml,,,,,,,,,
29684272,PMC6011181,10.1021/acs.biochem.8b00121,PMC006xxxxxx/PMC6011181.xml,,,,,,,,,
29863334,PMC6011182,10.1021/acs.accounts.8b00149,PMC006xxxxxx/PMC6011182.xml,,,,,,,,,
29806450,PMC6011837,10.1021/acs.analchem.7b04682,PMC006xxxxxx/PMC6011837.xml,,,,,,,,,
,PMC6011839,10.1002/mbo3.541,PMC006xxxxxx/PMC6011839.xml,MBO3541,,,,,,,,
,PMC6011921,10.1111/1751-7915.12860,PMC006xxxxxx/PMC6011921.xml,MBT212860,,,,,,,,
29942340,PMC6012930,10.7573/dic.212523,PMC006xxxxxx/PMC6012930.xml,dic-7-212523,,,,,,,,
29443958,PMC6013044,10.1038/nature25742,PMC006xxxxxx/PMC6013044.xml,,EMS75703,,,,,,,
29511346,PMC6013054,10.1038/s41388-018-0126-2,PMC006xxxxxx/PMC6013054.xml,,NIHMS974342,,,,,,,
29550057,PMC6013072,10.1016/j.diagmicrobio.2018.02.011,PMC006xxxxxx/PMC6013072.xml,S0732-8893(18)30070-1,,,,,,,,
29288257,PMC6013310,10.1038/s41370-017-0010-0,PMC006xxxxxx/PMC6013310.xml,,NIHMS921993,,,,,,,
29269844,PMC6013320,10.1038/s41380-017-0015-z,PMC006xxxxxx/PMC6013320.xml,,NIHMS917312,,,,,,,
29298976,PMC6013329,10.1038/s41370-017-0016-7,PMC006xxxxxx/PMC6013329.xml,,NIHMS932842,,,,,,,
29269754,PMC6013343,10.1038/s41370-017-0006-9,PMC006xxxxxx/PMC6013343.xml,,NIHMS933362,,,,,,,
29317739,PMC6013350,10.1038/s41370-017-0009-6,PMC006xxxxxx/PMC6013350.xml,,NIHMS933363,,,,,,,
29511286,PMC6013355,10.1038/s41370-018-0025-1,PMC006xxxxxx/PMC6013355.xml,,NIHMS944189,,,,,,,
29789668,PMC6013356,10.1038/s41370-018-0024-2,PMC006xxxxxx/PMC6013356.xml,,NIHMS944190,,,,,,,
29930077,PMC6013593,10.1128/genomeA.00597-18,PMC006xxxxxx/PMC6013593.xml,genomeA00597-18,,,,,,,,
29930028,PMC6013603,10.1128/genomeA.00203-18,PMC006xxxxxx/PMC6013603.xml,genomeA00203-18,,,,,,,,
29930051,PMC6013607,10.1128/genomeA.00537-18,PMC006xxxxxx/PMC6013607.xml,genomeA00537-18,,,,,,,,
29930061,PMC6013619,10.1128/genomeA.00554-18,PMC006xxxxxx/PMC6013619.xml,genomeA00554-18,,,,,,,,
29691141,PMC6013747,10.1016/j.ebiom.2018.02.014,PMC006xxxxxx/PMC6013747.xml,S2352-3964(18)30068-9,,,,,,,,
27866456,PMC6014286,10.1080/0886022X.2016.1256314,PMC006xxxxxx/PMC6014286.xml,1256314,,,,,,,,
27774831,PMC6014288,10.1080/0886022X.2016.1244075,PMC006xxxxxx/PMC6014288.xml,1244075,,,,,,,,
28085537,PMC6014290,10.1080/0886022X.2016.1254658,PMC006xxxxxx/PMC6014290.xml,1254658,,,,,,,,
27846788,PMC6014300,10.1080/0886022X.2016.1256308,PMC006xxxxxx/PMC6014300.xml,1256308,,,,,,,,
27774826,PMC6014323,10.1080/0886022X.2016.1244080,PMC006xxxxxx/PMC6014323.xml,1244080,,,,,,,,
27876426,PMC6014329,10.1080/0886022X.2016.1256310,PMC006xxxxxx/PMC6014329.xml,1256310,,,,,,,,
27767365,PMC6014332,10.1080/0886022X.2016.1244082,PMC006xxxxxx/PMC6014332.xml,1244082,,,,,,,,
27846768,PMC6014333,10.1080/0886022X.2016.1256320,PMC006xxxxxx/PMC6014333.xml,1256320,,,,,,,,
27876431,PMC6014334,10.1080/0886022X.2016.1256316,PMC006xxxxxx/PMC6014334.xml,1256316,,,,,,,,
27767372,PMC6014340,10.1080/0886022X.2016.1244078,PMC006xxxxxx/PMC6014340.xml,1244078,,,,,,,,
27846784,PMC6014342,10.1080/0886022X.2016.1256312,PMC006xxxxxx/PMC6014342.xml,1256312,,,,,,,,
27788614,PMC6014343,10.1080/0886022X.2016.1244081,PMC006xxxxxx/PMC6014343.xml,1244081,,,,,,,,
27767356,PMC6014346,10.1080/0886022X.2016.1244074,PMC006xxxxxx/PMC6014346.xml,1244074,,,,,,,,
27919192,PMC6014347,10.1080/0886022X.2016.1259633,PMC006xxxxxx/PMC6014347.xml,1259633,,,,,,,,
28100100,PMC6014352,10.1080/0886022X.2016.1277245,PMC006xxxxxx/PMC6014352.xml,1277245,,,,,,,,
27776444,PMC6014363,10.1080/0886022X.2016.1244076,PMC006xxxxxx/PMC6014363.xml,1244076,,,,,,,,
27866460,PMC6014364,10.1080/0886022X.2016.1256322,PMC006xxxxxx/PMC6014364.xml,1256322,,,,,,,,
27832731,PMC6014365,10.1080/0886022X.2016.1254656,PMC006xxxxxx/PMC6014365.xml,1254656,,,,,,,,
27767358,PMC6014395,10.1080/0886022X.2016.1244071,PMC006xxxxxx/PMC6014395.xml,1244071,,,,,,,,
27852131,PMC6014401,10.1080/0886022X.2016.1244079,PMC006xxxxxx/PMC6014401.xml,1244079,,,,,,,,
29932522,PMC6014441,10.1002/mgg3.424,PMC006xxxxxx/PMC6014441.xml,MGG3424,,,,,,,,
29932520,PMC6014444,10.1002/mgg3.418,PMC006xxxxxx/PMC6014444.xml,MGG3418,,,,,,,,
,PMC6014446,10.1002/mgg3.421,PMC006xxxxxx/PMC6014446.xml,MGG3421,,,,,,,,
,PMC6014449,10.1002/mgg3.420,PMC006xxxxxx/PMC6014449.xml,MGG3420,,,,,,,,
27846783,PMC6014468,10.1080/0886022X.2016.1256311,PMC006xxxxxx/PMC6014468.xml,1256311,,,,,,,,
27882817,PMC6014487,10.1080/0886022X.2016.1257433,PMC006xxxxxx/PMC6014487.xml,1257433,,,,,,,,
27846790,PMC6014495,10.1080/0886022X.2016.1256309,PMC006xxxxxx/PMC6014495.xml,1256309,,,,,,,,
27882813,PMC6014501,10.1080/0886022X.2016.1256321,PMC006xxxxxx/PMC6014501.xml,1256321,,,,,,,,
27767371,PMC6014512,10.1080/0886022X.2016.1244072,PMC006xxxxxx/PMC6014512.xml,1244072,,,,,,,,
27778533,PMC6014518,10.1080/0886022X.2016.1244077,PMC006xxxxxx/PMC6014518.xml,1244077,,,,,,,,
27846769,PMC6014526,10.1080/0886022X.2016.1256317,PMC006xxxxxx/PMC6014526.xml,1256317,,,,,,,,
27846776,PMC6014531,10.1080/0886022X.2016.1256313,PMC006xxxxxx/PMC6014531.xml,1256313,,,,,,,,
29802143,PMC6014533,10.2337/dc18-er07,PMC006xxxxxx/PMC6014533.xml,er07,,,,,,,,
29724784,PMC6014534,10.2337/dc18-0524,PMC006xxxxxx/PMC6014534.xml,0524,,,,,,,,
29898903,PMC6014538,10.2337/dc18-0425,PMC006xxxxxx/PMC6014538.xml,0425,,,,,,,,
29934477,PMC6014541,10.2337/dci18-0014,PMC006xxxxxx/PMC6014541.xml,0014,,,,,,,,
29752345,PMC6014543,10.2337/dc18-0228,PMC006xxxxxx/PMC6014543.xml,0228,,,,,,,,
29915128,PMC6014547,10.2337/dc17-2685,PMC006xxxxxx/PMC6014547.xml,2685,,,,,,,,
29934364,PMC6014551,10.2337/dbi17-0043,PMC006xxxxxx/PMC6014551.xml,0043,,,,,,,,
29158605,PMC6014619,10.1038/s41564-017-0063-9,PMC006xxxxxx/PMC6014619.xml,,EMS74470,,,,,,,
27978620,PMC6014682,10.1021/acssynbio.6b00219,PMC006xxxxxx/PMC6014682.xml,,,,,,,,,
29768010,PMC6014683,10.1021/acs.nanolett.8b00928,PMC006xxxxxx/PMC6014683.xml,,,,,,,,,
29741375,PMC6014685,10.1021/jacs.8b03333,PMC006xxxxxx/PMC6014685.xml,,,,,,,,,
28135086,PMC6014686,10.1021/acs.jmedchem.6b01690,PMC006xxxxxx/PMC6014686.xml,,,,,,,,,
28004573,PMC6014687,10.1021/acs.jmedchem.6b01055,PMC006xxxxxx/PMC6014687.xml,,,,,,,,,
29351546,PMC6014688,10.1289/EHP2873,PMC006xxxxxx/PMC6014688.xml,EHP2873,,,,,,,,
29342452,PMC6014689,10.1289/EHP1745,PMC006xxxxxx/PMC6014689.xml,EHP1745,,,,,,,,
29329100,PMC6014690,10.1289/EHP1289,PMC006xxxxxx/PMC6014690.xml,EHP1289,,,,,,,,
29351545,PMC6014691,10.1289/EHP2923,PMC006xxxxxx/PMC6014691.xml,EHP2923,,,,,,,,
29342453,PMC6014692,10.1289/EHP1447,PMC006xxxxxx/PMC6014692.xml,EHP1447,,,,,,,,
29298162,PMC6014693,10.1289/EHP1830,PMC006xxxxxx/PMC6014693.xml,EHP1830,,,,,,,,
29329101,PMC6014694,10.1289/EHP2252,PMC006xxxxxx/PMC6014694.xml,EHP2252,,,,,,,,
29389661,PMC6014695,10.1289/EHP2505,PMC006xxxxxx/PMC6014695.xml,EHP2505,,,,,,,,
29342451,PMC6014700,10.1289/EHP2644,PMC006xxxxxx/PMC6014700.xml,EHP2644,,,,,,,,
29364819,PMC6014702,10.1289/EHP2391,PMC006xxxxxx/PMC6014702.xml,EHP2391,,,,,,,,
29364820,PMC6014703,10.1289/EHP2239,PMC006xxxxxx/PMC6014703.xml,EHP2239,,,,,,,,
29351544,PMC6014706,10.1289/EHP2466,PMC006xxxxxx/PMC6014706.xml,EHP2466,,,,,,,,
29326091,PMC6014707,10.1289/EHP3193,PMC006xxxxxx/PMC6014707.xml,EHP3193,,,,,,,,
29373858,PMC6014709,10.1289/EHP2385,PMC006xxxxxx/PMC6014709.xml,EHP2385,,,,,,,,
29329102,PMC6014710,10.1289/EHP1992,PMC006xxxxxx/PMC6014710.xml,EHP1992,,,,,,,,
29401452,PMC6014711,10.1289/EHP2423,PMC006xxxxxx/PMC6014711.xml,EHP2423,,,,,,,,
29373860,PMC6014712,10.1289/EHP2192,PMC006xxxxxx/PMC6014712.xml,EHP2192,,,,,,,,
29348462,PMC6014869,10.1038/s41388-017-0110-2,PMC006xxxxxx/PMC6014869.xml,,NIHMS928438,,,,,,,
29845744,PMC6014876,10.1002/oby.22190,PMC006xxxxxx/PMC6014876.xml,,NIHMS953984,,,,,,,
29610462,PMC6014893,10.1038/s41557-018-0033-8,PMC006xxxxxx/PMC6014893.xml,,NIHMS947221,,,,,,,
29877610,PMC6014896,10.1002/oby.22208,PMC006xxxxxx/PMC6014896.xml,,NIHMS961623,,,,,,,
29888429,PMC6014905,10.1002/oby.22199,PMC006xxxxxx/PMC6014905.xml,,NIHMS957224,,,,,,,
,PMC6015285,10.1161/JAHA.117.004253,PMC006xxxxxx/PMC6015285.xml,JAH32633,,,,,,,,
