pmid,pmc,publisher-id,doi,File,manuscript,pii,coden,art-access-id,publisher-manuscript,other,pmc-scan,medline
27166377,PMC5001591,,10.1093/nar/gkw404,PMC005xxxxxx/PMC5001591.xml,,,,,,,,
27288447,PMC5001604,,10.1093/nar/gkw533,PMC005xxxxxx/PMC5001604.xml,,,,,,,,
27342282,PMC5001611,,10.1093/nar/gkw569,PMC005xxxxxx/PMC5001611.xml,,,,,,,,
27369383,PMC5001615,,10.1093/nar/gkw591,PMC005xxxxxx/PMC5001615.xml,,,,,,,,
27369381,PMC5001616,,10.1093/nar/gkw592,PMC005xxxxxx/PMC5001616.xml,,,,,,,,
27594792,PMC5001622,cmwh-9-2016-027,10.4137/CMWH.S39136,PMC005xxxxxx/PMC5001622.xml,,,,,,,,
27574529,PMC5001689,,10.1038/nphoton.2016.93,PMC005xxxxxx/PMC5001689.xml,NIHMS777051,,,,,,,
22001879,PMC5001690,,10.1016/j.vaccine.2011.09.135,PMC005xxxxxx/PMC5001690.xml,,S0264-410X(11)01592-1,,,,,,
27570679,PMC5001738,2383354,,PMC005xxxxxx/PMC5001738.xml,,,,,,,,
27570660,PMC5001739,2381465,,PMC005xxxxxx/PMC5001739.xml,,,,,,,,
27570644,PMC5001740,2382945,,PMC005xxxxxx/PMC5001740.xml,,,,,,,,
27570681,PMC5001741,2383356,,PMC005xxxxxx/PMC5001741.xml,,,,,,,,
27570655,PMC5001742,2381446,,PMC005xxxxxx/PMC5001742.xml,,,,,,,,
27570651,PMC5001743,2382788,,PMC005xxxxxx/PMC5001743.xml,,,,,,,,
27570648,PMC5001744,2383199,,PMC005xxxxxx/PMC5001744.xml,,,,,,,,
27570663,PMC5001745,2383321,,PMC005xxxxxx/PMC5001745.xml,,,,,,,,
27570656,PMC5001746,2382904,,PMC005xxxxxx/PMC5001746.xml,,,,,,,,
27570646,PMC5001747,2382866,,PMC005xxxxxx/PMC5001747.xml,,,,,,,,
27570676,PMC5001748,2383626,,PMC005xxxxxx/PMC5001748.xml,,,,,,,,
27570671,PMC5001749,2382702,,PMC005xxxxxx/PMC5001749.xml,,,,,,,,
27570677,PMC5001750,2383104,,PMC005xxxxxx/PMC5001750.xml,,,,,,,,
27570669,PMC5001751,2382894,,PMC005xxxxxx/PMC5001751.xml,,,,,,,,
27570666,PMC5001752,2383466,,PMC005xxxxxx/PMC5001752.xml,,,,,,,,
27570661,PMC5001753,2383388,,PMC005xxxxxx/PMC5001753.xml,,,,,,,,
27570659,PMC5001754,2380212,,PMC005xxxxxx/PMC5001754.xml,,,,,,,,
27570641,PMC5001755,2383078,,PMC005xxxxxx/PMC5001755.xml,,,,,,,,
27570642,PMC5001756,2383541,,PMC005xxxxxx/PMC5001756.xml,,,,,,,,
27570645,PMC5001757,2383363,,PMC005xxxxxx/PMC5001757.xml,,,,,,,,
27570674,PMC5001758,2383207,,PMC005xxxxxx/PMC5001758.xml,,,,,,,,
27570683,PMC5001759,2378482,,PMC005xxxxxx/PMC5001759.xml,,,,,,,,
27570665,PMC5001760,2383411,,PMC005xxxxxx/PMC5001760.xml,,,,,,,,
27570647,PMC5001761,2381736,,PMC005xxxxxx/PMC5001761.xml,,,,,,,,
27570653,PMC5001762,2381546,,PMC005xxxxxx/PMC5001762.xml,,,,,,,,
27570649,PMC5001763,2382924,,PMC005xxxxxx/PMC5001763.xml,,,,,,,,
27570658,PMC5001764,2383566,,PMC005xxxxxx/PMC5001764.xml,,,,,,,,
27570672,PMC5001765,2369656,,PMC005xxxxxx/PMC5001765.xml,,,,,,,,
27570650,PMC5001766,2382376,,PMC005xxxxxx/PMC5001766.xml,,,,,,,,
27570652,PMC5001767,2382052,,PMC005xxxxxx/PMC5001767.xml,,,,,,,,
27570667,PMC5001768,2381869,,PMC005xxxxxx/PMC5001768.xml,,,,,,,,
27570664,PMC5001769,2382940,,PMC005xxxxxx/PMC5001769.xml,,,,,,,,
27570678,PMC5001770,2380164,,PMC005xxxxxx/PMC5001770.xml,,,,,,,,
27570668,PMC5001771,2382740,,PMC005xxxxxx/PMC5001771.xml,,,,,,,,
27570675,PMC5001772,2383308,,PMC005xxxxxx/PMC5001772.xml,,,,,,,,
27570685,PMC5001773,2381818,,PMC005xxxxxx/PMC5001773.xml,,,,,,,,
27570670,PMC5001774,2381331,,PMC005xxxxxx/PMC5001774.xml,,,,,,,,
27570680,PMC5001775,2379213,,PMC005xxxxxx/PMC5001775.xml,,,,,,,,
27570684,PMC5001776,2383669,,PMC005xxxxxx/PMC5001776.xml,,,,,,,,
27570682,PMC5001777,2383564,,PMC005xxxxxx/PMC5001777.xml,,,,,,,,
27570662,PMC5001778,2383043,,PMC005xxxxxx/PMC5001778.xml,,,,,,,,
27570654,PMC5001779,2382880,,PMC005xxxxxx/PMC5001779.xml,,,,,,,,
27570643,PMC5001780,2383214,,PMC005xxxxxx/PMC5001780.xml,,,,,,,,
27595044,PMC5001781,2383481,,PMC005xxxxxx/PMC5001781.xml,,,,,,,,
27570657,PMC5001782,2383342,,PMC005xxxxxx/PMC5001782.xml,,,,,,,,
27570673,PMC5001783,2383487,,PMC005xxxxxx/PMC5001783.xml,,,,,,,,
27570686,PMC5001784,2381075,,PMC005xxxxxx/PMC5001784.xml,,,,,,,,
27558656,PMC5001785,898534,10.12659/AJCR.898534,PMC005xxxxxx/PMC5001785.xml,,,,,,,,
26342468,PMC5001852,S0042-6822(15)00332-3,10.1016/j.virol.2015.07.013,PMC005xxxxxx/PMC5001852.xml,,,,,,,,
27652234,PMC5001979,tau-05-04-622,10.21037/tau.2016.06.03,PMC005xxxxxx/PMC5001979.xml,,,,,,,,
27652229,PMC5001980,tau-05-04-576,10.21037/tau.2016.05.05,PMC005xxxxxx/PMC5001980.xml,,,,,,,,
27652220,PMC5001981,tau-05-04-475,10.21037/tau.2016.05.15,PMC005xxxxxx/PMC5001981.xml,,,,,,,,
27649791,PMC5001982,tau-05-04-616,10.21037/tau.2016.05.13,PMC005xxxxxx/PMC5001982.xml,,,,,,,,
27652233,PMC5001983,tau-05-04-620,10.21037/tau.2016.06.14,PMC005xxxxxx/PMC5001983.xml,,,,,,,,
27652237,PMC5001984,tau-05-04-628,10.21037/tau.2016.06.02,PMC005xxxxxx/PMC5001984.xml,,,,,,,,
27652216,PMC5001985,tau-05-04-434,10.21037/tau.2016.07.06,PMC005xxxxxx/PMC5001985.xml,,,,,,,,
27652213,PMC5001986,tau-05-04-409,10.21037/tau.2016.05.11,PMC005xxxxxx/PMC5001986.xml,,,,,,,,
27652215,PMC5001987,tau-05-04-424,10.21037/tau.2016.06.04,PMC005xxxxxx/PMC5001987.xml,,,,,,,,
27652235,PMC5001988,tau-05-04-624,10.21037/tau.2016.06.01,PMC005xxxxxx/PMC5001988.xml,,,,,,,,
27652222,PMC5001989,tau-05-04-487,10.21037/tau.2016.04.02,PMC005xxxxxx/PMC5001989.xml,,,,,,,,
27652225,PMC5001990,tau-05-04-526,10.21037/tau.2016.05.07,PMC005xxxxxx/PMC5001990.xml,,,,,,,,
27652214,PMC5001991,tau-05-04-416,10.21037/tau.2016.05.16,PMC005xxxxxx/PMC5001991.xml,,,,,,,,
27652228,PMC5001992,tau-05-04-563,10.21037/tau.2016.07.05,PMC005xxxxxx/PMC5001992.xml,,,,,,,,
27652238,PMC5001993,tau-05-04-630,10.21037/tau.2016.07.07,PMC005xxxxxx/PMC5001993.xml,,,,,,,,
27652232,PMC5001994,tau-05-04-607,10.21037/tau.2016.03.10,PMC005xxxxxx/PMC5001994.xml,,,,,,,,
27652211,PMC5001995,tau-05-04-401,10.21037/tau.2016.06.08,PMC005xxxxxx/PMC5001995.xml,,,,,,,,
27649839,PMC5001996,tau-05-04-613,10.21037/tau.2016.05.02,PMC005xxxxxx/PMC5001996.xml,,,,,,,,
27652219,PMC5001997,tau-05-04-470,10.21037/tau.2016.05.04,PMC005xxxxxx/PMC5001997.xml,,,,,,,,
27652221,PMC5001998,tau-05-04-482,10.21037/tau.2016.06.10,PMC005xxxxxx/PMC5001998.xml,,,,,,,,
27652231,PMC5001999,tau-05-04-602,10.21037/tau.2016.07.01,PMC005xxxxxx/PMC5001999.xml,,,,,,,,
27652217,PMC5002000,tau-05-04-450,10.21037/tau.2016.06.06,PMC005xxxxxx/PMC5002000.xml,,,,,,,,
27652218,PMC5002001,tau-05-04-460,10.21037/tau.2016.05.08,PMC005xxxxxx/PMC5002001.xml,,,,,,,,
27652226,PMC5002002,tau-05-04-541,10.21037/tau.2016.05.10,PMC005xxxxxx/PMC5002002.xml,,,,,,,,
27652212,PMC5002003,tau-05-04-402,10.21037/tau.2016.05.12,PMC005xxxxxx/PMC5002003.xml,,,,,,,,
27652236,PMC5002004,tau-05-04-626,10.21037/tau.2016.06.09,PMC005xxxxxx/PMC5002004.xml,,,,,,,,
27652224,PMC5002005,tau-05-04-508,10.21037/tau.2016.03.28,PMC005xxxxxx/PMC5002005.xml,,,,,,,,
27652223,PMC5002006,tau-05-04-502,10.21037/tau.2016.05.06,PMC005xxxxxx/PMC5002006.xml,,,,,,,,
27652230,PMC5002007,tau-05-04-592,10.21037/tau.2016.06.05,PMC005xxxxxx/PMC5002007.xml,,,,,,,,
27652227,PMC5002008,tau-05-04-549,10.21037/tau.2016.05.03,PMC005xxxxxx/PMC5002008.xml,,,,,,,,
27652239,PMC5002009,tau-05-04-632,10.21037/tau.2016.07.08,PMC005xxxxxx/PMC5002009.xml,,,,,,,,
27171763,PMC5002251,,10.1038/jp.2016.79,PMC005xxxxxx/PMC5002251.xml,NIHMS774448,,,,,,,
27597868,PMC5002294,,10.1155/2016/2794510,PMC005xxxxxx/PMC5002294.xml,,,,,,,,
27462810,PMC5002394,,10.1038/nature19058,PMC005xxxxxx/PMC5002394.xml,NIHMS800441,,,,,,,
,PMC5002902,PHY212572,10.14814/phy2.12572,PMC005xxxxxx/PMC5002902.xml,,,,,,,,
27109430,PMC5002933,,10.1021/acs.jpcb.6b01387,PMC005xxxxxx/PMC5002933.xml,,,,,,,,
27588158,PMC5002934,,10.1021/acs.jpcc.6b05541,PMC005xxxxxx/PMC5002934.xml,,,,,,,,
27248842,PMC5002935,,10.1021/acs.jpcb.6b03392,PMC005xxxxxx/PMC5002935.xml,,,,,,,,
27141956,PMC5002936,,10.1021/acs.jpcb.6b02655,PMC005xxxxxx/PMC5002936.xml,,,,,,,,
27154639,PMC5002937,,10.1021/acs.jpcb.6b02814,PMC005xxxxxx/PMC5002937.xml,,,,,,,,
18776897,PMC5003050,,10.1038/nn.2184,PMC005xxxxxx/PMC5003050.xml,NIHMS812378,,,,,,,
27428510,PMC5003112,,10.1038/nchembio.2132,PMC005xxxxxx/PMC5003112.xml,NIHMS789745,,,,,,,
27063577,PMC5003118,,10.1021/acs.jpcb.6b02166,PMC005xxxxxx/PMC5003118.xml,,,,,,,,
27594784,PMC5003121,grsb-10-2016-085,10.4137/GRSB.S40036,PMC005xxxxxx/PMC5003121.xml,,,,,,,,
27594790,PMC5003122,cmc-10-2016-139,10.4137/CMC.S38443,PMC005xxxxxx/PMC5003122.xml,,,,,,,,
27594782,PMC5003123,ebo-12-2016-193,10.4137/EBO.S40009,PMC005xxxxxx/PMC5003123.xml,,,,,,,,
27594791,PMC5003124,cmc-suppl.3-2014-067,10.4137/CMC.S39423,PMC005xxxxxx/PMC5003124.xml,,,,,,,,
27594786,PMC5003125,sart-suppl.1-2015-069,10.4137/SART.S31432,PMC005xxxxxx/PMC5003125.xml,,,,,,,,
27560308,PMC5003147,897104,10.12659/MSM.897104,PMC005xxxxxx/PMC5003147.xml,,,,,,,,
27564219,PMC5003148,896009,10.12659/MSM.896009,PMC005xxxxxx/PMC5003148.xml,,,,,,,,
27561364,PMC5003149,897956,10.12659/AJCR.897956,PMC005xxxxxx/PMC5003149.xml,,,,,,,,
27539812,PMC5003164,896557,10.12659/MSM.896557,PMC005xxxxxx/PMC5003164.xml,,,,,,,,
27602308,PMC5003165,2800510,10.1109/JTEHM.2016.2593920,PMC005xxxxxx/PMC5003165.xml,,,,,,,,
27602306,PMC5003166,7407302,10.1109/JTEHM.2016.2526739,PMC005xxxxxx/PMC5003166.xml,,,,,,,,
27602307,PMC5003167,2800410,10.1109/JTEHM.2016.2573305,PMC005xxxxxx/PMC5003167.xml,,,,,,,,
27462815,PMC5003174,,10.1038/nature18954,PMC005xxxxxx/PMC5003174.xml,NIHMS797564,,,,,,,
27049653,PMC5003177,1175305,10.1080/14760584.2016.1175305,PMC005xxxxxx/PMC5003177.xml,,,,,,,,
27562261,PMC5003320,,10.1038/nmicrobiol.2016.128,PMC005xxxxxx/PMC5003320.xml,NIHMS800461,,,,,,,
27562253,PMC5003325,,10.1038/nmicrobiol.2016.87,PMC005xxxxxx/PMC5003325.xml,NIHMS784820,,,,,,,
26906456,PMC5003508,,10.1021/acs.nanolett.5b05139,PMC005xxxxxx/PMC5003508.xml,,,,,,,,
26309148,PMC5003509,,10.1021/acs.jmedchem.5b00482,PMC005xxxxxx/PMC5003509.xml,,,,,,,,
24013231,PMC5003617,,10.1038/onc.2013.338,PMC005xxxxxx/PMC5003617.xml,NIHMS810007,,,,,,,
27437910,PMC5003632,,10.1038/nn.4356,PMC005xxxxxx/PMC5003632.xml,NIHMS801580,,,,,,,
27428652,PMC5003643,,10.1038/nn.4348,PMC005xxxxxx/PMC5003643.xml,NIHMS798558,,,,,,,
27399842,PMC5003644,,10.1038/nn.4343,PMC005xxxxxx/PMC5003644.xml,NIHMS796565,,,,,,,
27428653,PMC5003654,,10.1038/nn.4345,PMC005xxxxxx/PMC5003654.xml,NIHMS797897,,,,,,,
27500406,PMC5003660,,10.1038/nn.4357,PMC005xxxxxx/PMC5003660.xml,NIHMS801579,,,,,,,
27459054,PMC5003663,,10.1038/nature19310,PMC005xxxxxx/PMC5003663.xml,NIHMS804247,,,,,,,
27500407,PMC5003691,,10.1038/nn.4354,PMC005xxxxxx/PMC5003691.xml,NIHMS801288,,,,,,,
27355570,PMC5003703,,10.1038/nature18952,PMC005xxxxxx/PMC5003703.xml,NIHMS797899,,,,,,,
27399844,PMC5003707,,10.1038/nn.4342,PMC005xxxxxx/PMC5003707.xml,NIHMS796564,,,,,,,
27353165,PMC5003743,,10.1038/ja.2016.79,PMC005xxxxxx/PMC5003743.xml,NIHMS793634,,,,,,,
26923327,PMC5003768,,10.1038/onc.2016.34,PMC005xxxxxx/PMC5003768.xml,NIHMS754046,,,,,,,
25959145,PMC5003780,,10.1002/oby.21059,PMC005xxxxxx/PMC5003780.xml,NIHMS660347,,,,,,,
26657142,PMC5003782,,10.1038/nm.4002,PMC005xxxxxx/PMC5003782.xml,NIHMS735489,,,,,,,
27579263,PMC5003943,wjps-5-093,,PMC005xxxxxx/PMC5003943.xml,,,,,,,,
27579264,PMC5003944,wjps-5-097,,PMC005xxxxxx/PMC5003944.xml,,,,,,,,
27579265,PMC5003945,wjps-5-109,,PMC005xxxxxx/PMC5003945.xml,,,,,,,,
27579266,PMC5003946,wjps-5-114,,PMC005xxxxxx/PMC5003946.xml,,,,,,,,
27579267,PMC5003947,wjps-5-124,,PMC005xxxxxx/PMC5003947.xml,,,,,,,,
27579268,PMC5003948,wjps-5-133,,PMC005xxxxxx/PMC5003948.xml,,,,,,,,
27579269,PMC5003949,wjps-5-139,,PMC005xxxxxx/PMC5003949.xml,,,,,,,,
27579270,PMC5003950,wjps-5-148,,PMC005xxxxxx/PMC5003950.xml,,,,,,,,
27579271,PMC5003951,wjps-5-154,,PMC005xxxxxx/PMC5003951.xml,,,,,,,,
27579272,PMC5003952,wjps-5-160,,PMC005xxxxxx/PMC5003952.xml,,,,,,,,
27579273,PMC5003953,wjps-5-168,,PMC005xxxxxx/PMC5003953.xml,,,,,,,,
27579274,PMC5003954,wjps-5-175,,PMC005xxxxxx/PMC5003954.xml,,,,,,,,
27579275,PMC5003955,wjps-5-181,,PMC005xxxxxx/PMC5003955.xml,,,,,,,,
27579276,PMC5003956,wjps-5-183,,PMC005xxxxxx/PMC5003956.xml,,,,,,,,
27579277,PMC5003957,wjps-5-185,,PMC005xxxxxx/PMC5003957.xml,,,,,,,,
27579278,PMC5003958,wjps-5-187,,PMC005xxxxxx/PMC5003958.xml,,,,,,,,
27579279,PMC5003959,wjps-5-190,,PMC005xxxxxx/PMC5003959.xml,,,,,,,,
27579280,PMC5003960,wjps-5-194,,PMC005xxxxxx/PMC5003960.xml,,,,,,,,
26603901,PMC5004891,BFnri3921,10.1038/nri3921,PMC005xxxxxx/PMC5004891.xml,,,,,,,,
27568925,PMC5004981,898490,10.12659/AJCR.898490,PMC005xxxxxx/PMC5004981.xml,,,,,,,,
27548357,PMC5004983,897241,10.12659/MSM.897241,PMC005xxxxxx/PMC5004983.xml,,,,,,,,
27544688,PMC5004985,896861,10.12659/MSM.896861,PMC005xxxxxx/PMC5004985.xml,,,,,,,,
27545688,PMC5004986,900237,10.12659/MSM.900237,PMC005xxxxxx/PMC5004986.xml,,,,,,,,
27594787,PMC5004994,ehi-10-2016-143,10.4137/EHI.S38350,PMC005xxxxxx/PMC5004994.xml,,,,,,,,
27594788,PMC5004995,ehi-10-2016-147,10.4137/EHI.S40360,PMC005xxxxxx/PMC5004995.xml,,,,,,,,
27594785,PMC5004996,bbi-10-2016-155,10.4137/BBI.S40427,PMC005xxxxxx/PMC5004996.xml,,,,,,,,
27594789,PMC5005011,ijis-8-2016-071,10.4137/IJIS.S28595,PMC005xxxxxx/PMC5005011.xml,,,,,,,,
27106905,PMC5005391,1534,10.1007/s00702-016-1534-5,PMC005xxxxxx/PMC5005391.xml,,,,,,,,
27642369,PMC5005406,9338,10.1007/s12559-015-9338-8,PMC005xxxxxx/PMC5005406.xml,,,,,,,,
27445359,PMC5005471,10.1302_2046-3758.57.2000502,10.1302/2046-3758.57.2000502,PMC005xxxxxx/PMC5005471.xml,,,,,,,,
27491660,PMC5005472,10.1302_2046-3758.58.2000626,10.1302/2046-3758.58.2000626,PMC005xxxxxx/PMC5005472.xml,,,,,,,,
27445358,PMC5005473,10.1302_2046-3758.57.2000566,10.1302/2046-3758.57.2000566,PMC005xxxxxx/PMC5005473.xml,,,,,,,,
27610370,PMC5005520,,10.1155/2016/3017536,PMC005xxxxxx/PMC5005520.xml,,,,,,,,
22487223,PMC5006004,IRV360,10.1111/j.1750-2659.2012.00360.x,PMC005xxxxxx/PMC5006004.xml,,,,,,,,
27617223,PMC5006094,S2214-5400(16)30024-X,10.1016/j.mgene.2016.07.001,PMC005xxxxxx/PMC5006094.xml,,,,,,,,
,PMC5006098,10.1177_1049732312467610,10.1177/1049732312467610,PMC005xxxxxx/PMC5006098.xml,,,,,,,,
27617227,PMC5006121,S2214-5400(16)30036-6,10.1016/j.mgene.2016.08.001,PMC005xxxxxx/PMC5006121.xml,,,,,,,,
27617216,PMC5006125,S2214-5400(16)30030-5,10.1016/j.mgene.2016.07.007,PMC005xxxxxx/PMC5006125.xml,,,,,,,,
27617226,PMC5006127,S2214-5400(16)30034-2,10.1016/j.mgene.2016.07.011,PMC005xxxxxx/PMC5006127.xml,,,,,,,,
27617220,PMC5006128,S2214-5400(16)30032-9,10.1016/j.mgene.2016.07.008,PMC005xxxxxx/PMC5006128.xml,,,,,,,,
27617221,PMC5006130,S2214-5400(16)30033-0,10.1016/j.mgene.2016.07.010,PMC005xxxxxx/PMC5006130.xml,,,,,,,,
27617218,PMC5006132,S2214-5400(16)30028-7,10.1016/j.mgene.2016.07.005,PMC005xxxxxx/PMC5006132.xml,,,,,,,,
27617222,PMC5006133,S2214-5400(16)30026-3,10.1016/j.mgene.2016.07.003,PMC005xxxxxx/PMC5006133.xml,,,,,,,,
27617217,PMC5006134,S2214-5400(16)30027-5,10.1016/j.mgene.2016.07.004,PMC005xxxxxx/PMC5006134.xml,,,,,,,,
27617224,PMC5006142,S2214-5400(16)30031-7,10.1016/j.mgene.2016.07.009,PMC005xxxxxx/PMC5006142.xml,,,,,,,,
27617225,PMC5006144,S2214-5400(16)30035-4,10.1016/j.mgene.2016.07.012,PMC005xxxxxx/PMC5006144.xml,,,,,,,,
27617219,PMC5006145,S2214-5400(16)30025-1,10.1016/j.mgene.2016.07.002,PMC005xxxxxx/PMC5006145.xml,,,,,,,,
27207921,PMC5006201,,10.1093/ijnp/pyw035,PMC005xxxxxx/PMC5006201.xml,,,,,,,,
26385895,PMC5006288,,10.1093/femsre/fuv039,PMC005xxxxxx/PMC5006288.xml,,,,,,,,
27572444,PMC5006386,,10.1038/nmicrobiol.2016.25,PMC005xxxxxx/PMC5006386.xml,NIHMS757653,,,,,,,
26893297,PMC5006438,kww021,10.1093/aje/kww021,PMC005xxxxxx/PMC5006438.xml,,,,,,,,
27648375,PMC5006544,dp0603a01,10.5826/dpc.0603a01,PMC005xxxxxx/PMC5006544.xml,,,,,,,,
27648376,PMC5006545,dp0603a02,10.5826/dpc.0603a02,PMC005xxxxxx/PMC5006545.xml,,,,,,,,
27648377,PMC5006546,dp0603a03,10.5826/dpc.0603a03,PMC005xxxxxx/PMC5006546.xml,,,,,,,,
27648378,PMC5006547,dp0603a04,10.5826/dpc.0603a04,PMC005xxxxxx/PMC5006547.xml,,,,,,,,
27648379,PMC5006548,dp0603a05,10.5826/dpc.0603a05,PMC005xxxxxx/PMC5006548.xml,,,,,,,,
27648380,PMC5006549,dp0603a06,10.5826/dpc.0603a06,PMC005xxxxxx/PMC5006549.xml,,,,,,,,
27648381,PMC5006550,dp0603a07,10.5826/dpc.0603a07,PMC005xxxxxx/PMC5006550.xml,,,,,,,,
27648382,PMC5006551,dp0603a08,10.5826/dpc.0603a08,PMC005xxxxxx/PMC5006551.xml,,,,,,,,
27648383,PMC5006552,dp0603a09,10.5826/dpc.0603a09,PMC005xxxxxx/PMC5006552.xml,,,,,,,,
27648384,PMC5006553,dp0603a10,10.5826/dpc.0603a10,PMC005xxxxxx/PMC5006553.xml,,,,,,,,
27648385,PMC5006554,dp0603a11,10.5826/dpc.0603a11,PMC005xxxxxx/PMC5006554.xml,,,,,,,,
27648386,PMC5006555,dp0603a12,10.5826/dpc.0603a12,PMC005xxxxxx/PMC5006555.xml,,,,,,,,
27648387,PMC5006556,dp0603a13,10.5826/dpc.0603a13,PMC005xxxxxx/PMC5006556.xml,,,,,,,,
27648388,PMC5006557,dp0603a14,10.5826/dpc.0603a14,PMC005xxxxxx/PMC5006557.xml,,,,,,,,
27648389,PMC5006558,dp0603a15,10.5826/dpc.0603a15,PMC005xxxxxx/PMC5006558.xml,,,,,,,,
27594765,PMC5006632,,10.1021/acs.chemmater.6b01956,PMC005xxxxxx/PMC5006632.xml,,,,,,,,
27597808,PMC5006635,ebo-12-2016-201,10.4137/EBO.S39880,PMC005xxxxxx/PMC5006635.xml,,,,,,,,
27597810,PMC5006637,cmc-10-2016-149,10.4137/CMC.S32804,PMC005xxxxxx/PMC5006637.xml,,,,,,,,
27597809,PMC5006648,ehi-10-2016-155,10.4137/EHI.S40493,PMC005xxxxxx/PMC5006648.xml,,,,,,,,
27577756,PMC5006651,ig5034,10.1107/S1600577516009024,PMC005xxxxxx/PMC5006651.xml,,S1600577516009024,JSYRES,,,,,
27635119,PMC5006667,1063544,10.1080/15017419.2015.1063544,PMC005xxxxxx/PMC5006667.xml,,,,,,,,
27550548,PMC5006713,899485,10.12659/MSM.899485,PMC005xxxxxx/PMC5006713.xml,,,,,,,,
27552357,PMC5006714,897016,10.12659/MSM.897016,PMC005xxxxxx/PMC5006714.xml,,,,,,,,
27635170,PMC5006721,897289,10.12659/PJR.897289,PMC005xxxxxx/PMC5006721.xml,,,,,,,,
27554840,PMC5006728,S2352-3964(16)30352-8,10.1016/j.ebiom.2016.08.003,PMC005xxxxxx/PMC5006728.xml,,,,,,,,
27642193,PMC5006859,SORE12364,10.1111/1467-954X.12364,PMC005xxxxxx/PMC5006859.xml,,,,,,,,
27479330,PMC5007149,,10.1038/nmeth.3955,PMC005xxxxxx/PMC5007149.xml,NIHMS802004,,,,,,,
27500523,PMC5007158,,10.1038/ng.3632,PMC005xxxxxx/PMC5007158.xml,EMS69042,,,,,,,
27479328,PMC5007177,,10.1038/nmeth.3935,PMC005xxxxxx/PMC5007177.xml,NIHMS800611,,,,,,,
27479603,PMC5007193,,10.1038/ncb3394,PMC005xxxxxx/PMC5007193.xml,NIHMS800479,,,,,,,
27454819,PMC5007201,,10.1038/ncb3393,PMC005xxxxxx/PMC5007201.xml,EMS69149,,,,,,,
27236514,PMC5007268,9708,10.1007/s10126-016-9708-6,PMC005xxxxxx/PMC5007268.xml,,,,,,,,
27215660,PMC5007286,S0016-5085(16)34449-3,10.1053/j.gastro.2016.05.006,PMC005xxxxxx/PMC5007286.xml,,,,,,,,
27490953,PMC5007558,,10.1021/acs.biochem.6b00444,PMC005xxxxxx/PMC5007558.xml,,,,,,,,
26041698,PMC5007876,,10.1038/ijo.2015.104,PMC005xxxxxx/PMC5007876.xml,NIHMS692630,,,,,,,
